m.z	mode	p.value	t.score
630.57345	positive	0.00033693	-4.5368
398.74007	positive	0.00033802	-4.5352
190.00863	positive	0.00034253	-4.5288
856.37136	positive	0.00034547	-4.5247
748.4862	positive	0.00034617	-4.5237
117.98182	positive	0.00034622	-4.5236
516.65447	positive	0.00034652	-4.5232
193.92991	positive	0.00034792	-4.5213
241.89181	negative	0.00034809	-4.521
177.12326	positive	0.00035306	4.5141
800.41101	positive	0.00035641	-4.5096
135.92572	positive	0.00035773	4.5078
498.99124	positive	0.00035958	-4.5053
247.85754	negative	0.00036182	-4.5023
88.112	positive	0.00036692	4.4955
358.7713	negative	0.00036715	-4.4952
142.58938	positive	0.00037186	4.4891
271.00089	positive	0.00037363	-4.4868
118.08615	positive	0.00037715	-4.4822
242.17596	negative	0.00037749	-4.4818
321.75936	negative	0.00037783	-4.4814
450.82376	positive	0.000381	4.4773
524.84142	positive	0.00038239	-4.4756
457.2291	positive	0.00038255	4.4754
246.03674	positive	0.00038411	-4.4734
346.00863	positive	0.00038445	-4.473
514.65743	positive	0.00038584	-4.4712
153.08382	positive	0.0003869	-4.4699
456.69885	positive	0.00038957	-4.4666
336.01033	positive	0.00038961	-4.4665
194.90573	negative	0.00039372	-4.4615
636.56468	positive	0.00039664	-4.4579
361.08595	positive	0.0003971	-4.4573
113.07085	positive	0.0003979	4.4564
184.91582	negative	0.00039829	4.4559
506.67153	positive	0.00040291	-4.4503
295.11709	positive	0.00040354	-4.4496
850.60775	positive	0.0004088	-4.4433
188.17555	positive	0.00041072	-4.4411
520.84715	positive	0.00041257	-4.4389
89.05476	positive	0.00041893	-4.4315
488.30002	positive	0.00042381	-4.4259
574.61269	positive	0.00043029	-4.4186
197.04099	positive	0.00043524	-4.4131
828.58832	positive	0.00043633	-4.4119
231.86295	negative	0.00044089	-4.4069
172.06687	positive	0.00044485	-4.4026
102.03375	positive	0.00045111	-4.3959
604.87093	negative	0.00045451	-4.3922
672.85893	negative	0.00046028	-4.3862
684.49348	positive	0.00046176	-4.3846
216.92823	negative	0.00046206	-4.3843
678.50236	positive	0.0004661	-4.3801
211.94041	positive	0.0004672	-4.379
382.69274	positive	0.00046941	-4.3767
369.20438	negative	0.00047236	4.3737
566.34629	negative	0.00047355	4.3725
193.92994	positive	0.00047565	-4.3704
227.01115	positive	0.00047797	-4.368
135.06023	positive	0.00048105	-4.3649
365.15635	positive	0.00048121	-4.3648
296.95668	positive	0.00049129	-4.3548
223.86657	negative	0.00049168	-4.3544
120.08067	positive	0.00049673	-4.3495
294.86511	positive	0.00049838	4.3479
462.64389	positive	0.00049901	-4.3473
458.69615	positive	0.00050348	-4.343
632.57059	positive	0.00050392	-4.3426
396.74312	positive	0.00051007	-4.3368
306.5897	positive	0.00051152	4.3354
285.90817	negative	0.00051224	-4.3347
241.03085	positive	0.0005134	-4.3336
403.0115	negative	0.00051367	-4.3334
325.18396	negative	0.00051455	-4.3326
806.44549	positive	0.00051788	-4.3295
223.44825	positive	0.00052071	-4.3269
255.23261	negative	0.00052606	-4.3219
624.53927	positive	0.00053121	-4.3173
566.97776	positive	0.00054103	-4.3085
306.86192	positive	0.00054282	-4.3069
139.50839	positive	0.0005441	-4.3058
297.13414	negative	0.00055215	-4.2987
914.33134	positive	0.00055382	-4.2973
524.61323	positive	0.00055581	-4.2955
980.72997	positive	0.00055636	-4.2951
270.93293	positive	0.00055668	-4.2948
343.78683	positive	0.00055669	-4.2948
321.13172	negative	0.00056088	4.2912
273.17046	negative	0.00056529	-4.2874
676.09066	negative	0.00056702	-4.286
281.03627	negative	0.00056928	-4.284
504.62868	positive	0.00058558	-4.2705
384.68974	positive	0.00058572	-4.2704
172.13308	positive	0.00059515	4.2627
200.03592	positive	0.00059744	-4.2609
338.76168	negative	0.00059827	-4.2602
932.54674	positive	0.0006074	-4.253
283.99273	negative	0.00061325	4.2484
273.17047	negative	0.00062	-4.2431
375.13845	positive	0.0006275	-4.2374
655.41056	positive	0.0006295	-4.2359
396.89065	negative	0.00062977	4.2357
410.76556	positive	0.00063355	-4.2328
229.90062	negative	0.00063812	4.2294
283.99797	positive	0.00063946	-4.2284
510.62005	positive	0.00065088	-4.2199
419.64046	negative	0.0006517	4.2193
588.58939	positive	0.00065326	-4.2181
268.02324	positive	0.00066641	-4.2086
447.16568	negative	0.0006668	4.2083
341.79301	negative	0.0006713	-4.2051
518.65182	positive	0.00067523	-4.2023
634.56761	positive	0.00069414	-4.1891
692.5254	positive	0.00069606	-4.1878
348.79046	negative	0.0006967	-4.1873
135.1208	positive	0.00069792	4.1865
978.73299	positive	0.00069972	-4.1853
808.44261	positive	0.00070069	-4.1846
343.13962	negative	0.00070872	-4.1792
338.83282	positive	0.00071827	-4.1728
134.94333	negative	0.00072228	-4.1701
162.03258	negative	0.00072282	-4.1698
262.76394	negative	0.00074983	-4.1522
1200.35877	positive	0.00075587	-4.1484
237.89981	positive	0.00075797	-4.1471
226.95116	positive	0.00078082	4.1329
818.38173	positive	0.00078257	-4.1318
258.10991	positive	0.00078883	4.128
241.10556	negative	0.00079578	4.1238
142.01119	negative	0.00080007	-4.1213
285.78259	negative	0.00083733	-4.0996
250.14457	negative	0.00084302	4.0963
149.12839	positive	0.00085118	4.0917
810.43963	positive	0.00085497	-4.0896
518.81133	positive	0.00085993	4.0869
344.79162	positive	0.00086346	-4.0849
217.97605	positive	0.00086424	-4.0845
922.36268	positive	0.00086867	-4.082
492.05764	negative	0.00087146	4.0805
372.97166	positive	0.00088226	-4.0746
166.09739	positive	0.00088448	-4.0734
428.23809	positive	0.00089306	-4.0688
107.08542	positive	0.00089377	-4.0685
108.51739	positive	0.00090567	-4.0622
355.15786	negative	0.00090939	-4.0602
189.179	positive	0.00091209	-4.0588
336.88689	negative	0.00091773	-4.0559
460.74593	positive	0.00091933	-4.055
236.01483	negative	0.00092058	-4.0544
421.15485	negative	0.00092427	-4.0525
732.69521	positive	0.00092502	-4.0521
174.86373	negative	0.00092878	-4.0502
140.10692	positive	0.00093491	4.047
546.83382	negative	0.00095037	4.0392
306.05921	negative	0.00095426	4.0373
153.99458	positive	0.00095555	-4.0366
684.7645	positive	0.00097767	-4.0257
680.5	positive	0.00097908	-4.0251
848.61059	positive	0.00098317	-4.0231
171.06357	positive	0.00098601	-4.0217
686.4911	positive	0.00098684	-4.0213
266.77589	positive	0.00098722	-4.0211
214.44303	positive	0.00099445	-4.0176
174.06275	positive	0.00099599	-4.0169
322.73725	positive	0.00099682	4.0165
294.95579	positive	0.00099695	-4.0165
125.98615	positive	0.00099874	-4.0156
1202.35662	positive	0.0010037	-4.0132
278.85289	negative	0.0010071	-4.0116
512.6602	positive	0.0010126	-4.009
435.69129	negative	0.0010199	4.0056
141.09094	positive	0.0010204	-4.0054
104.10689	positive	0.001028	-4.0018
812.4361	positive	0.0010299	-4.001
236.88706	negative	0.0010309	-4.0005
491.05449	negative	0.0010456	3.9938
129.10201	positive	0.0010462	3.9935
378.91817	negative	0.0010621	-3.9864
138.10238	positive	0.0010811	3.9779
371.18625	positive	0.0010823	-3.9774
475.36355	positive	0.0010947	-3.972
124.04738	positive	0.0011019	-3.9688
346.05553	negative	0.0011074	-3.9665
178.85882	negative	0.0011202	-3.961
165.54077	positive	0.0011223	3.9601
414.82994	negative	0.0011273	-3.958
233.95944	positive	0.0011343	-3.9551
698.47054	positive	0.0011458	-3.9503
409.18249	positive	0.0011466	-3.95
383.75943	negative	0.0011534	-3.9471
383.18912	negative	0.0011577	-3.9454
229.14064	positive	0.001158	3.9452
150.11236	positive	0.0011641	-3.9427
229.90649	positive	0.0011643	-3.9427
462.88828	positive	0.0011728	-3.9392
282.87156	positive	0.0011769	-3.9375
381.62094	positive	0.0011848	-3.9344
135.03026	positive	0.0011921	3.9314
207.93103128	negative	0.0011999	-3.9284
331.14497	negative	0.0012141	-3.9228
447.67163	negative	0.0012239	3.919
257.91334462	negative	0.001233	-3.9154
178.12253	positive	0.001234	3.915
122.96398	positive	0.0012467	-3.9102
456.62531	positive	0.001249	-3.9093
121.01472	positive	0.0012493	-3.9092
316.94758	negative	0.0012515	-3.9084
746.60396	positive	0.0012541	3.9074
431.18369	negative	0.0012592	-3.9055
211.13388	negative	0.0012681	-3.9021
930.54958	positive	0.0012685	-3.902
562.81426	positive	0.0012713	-3.9009
453.6816	negative	0.0012746	3.8997
435.24969	negative	0.0012754	-3.8994
313.88831	positive	0.0012781	-3.8984
314.90508	negative	0.0012801	-3.8977
235.92588	negative	0.0012952	-3.8921
277.18067	negative	0.0013103	-3.8866
336.27738	positive	0.0013166	-3.8843
110.0712	positive	0.0013445	-3.8743
198.09759	positive	0.0013598	-3.869
260.76688	negative	0.0013672	-3.8664
377.14481	positive	0.001384	-3.8606
852.60493	positive	0.0013865	-3.8598
307.85571	negative	0.0014098	-3.8519
854.41983	positive	0.0014217	-3.8479
560.81728	positive	0.0014246	-3.8469
275.90557	negative	0.0014371	3.8428
203.15015	positive	0.0014385	-3.8423
1030.47593	positive	0.0014523	-3.8378
381.29689	positive	0.0014635	3.8341
372.18961	positive	0.0014821	-3.8281
419.96773	negative	0.001486	3.8269
1034.2426	positive	0.0015113	-3.8189
694.09541	negative	0.0015238	-3.815
453.13988	positive	0.0015443	-3.8087
802.40835	positive	0.0015456	-3.8083
154.92812	negative	0.0015506	-3.8067
473.26386	positive	0.0015696	-3.8009
356.18635	negative	0.0015993	3.7921
380.69573	positive	0.0016035	-3.7908
360.82863	positive	0.0016063	-3.79
858.36822	positive	0.0016317	-3.7826
196.16935	positive	0.0016326	-3.7823
908.56764	positive	0.0016371	-3.781
100.07559	positive	0.0016562	-3.7755
292.77854	positive	0.0016616	-3.7739
446.77882	positive	0.0016738	-3.7705
462.21005	negative	0.0016782	-3.7693
167.0895	positive	0.0016818	-3.7682
682.49711	positive	0.0016832	-3.7678
405.78991	negative	0.0016903	-3.7658
341.01135	negative	0.0016977	-3.7638
343.79001	negative	0.0016981	-3.7636
314.7098	negative	0.0017238	-3.7566
222.0463	negative	0.001734	-3.7537
642.75386	positive	0.001739	-3.7524
522.84423	positive	0.0017469	-3.7502
91.05417	positive	0.0017774	-3.742
920.77538	positive	0.0017828	-3.7406
328.90333	negative	0.0017856	3.7398
398.76544	positive	0.0017954	-3.7373
88.05141	positive	0.0018083	-3.7339
866.40014	positive	0.0018168	-3.7317
236.95673	positive	0.0018187	-3.7312
834.59856	positive	0.0018297	3.7283
910.56477	positive	0.0018345	-3.7271
407.22422	positive	0.001838	-3.7262
434.86358	negative	0.0018445	-3.7245
514.8847	positive	0.0018688	-3.7183
460.78187	positive	0.0019015	-3.7101
354.82834	negative	0.0019022	-3.7099
112.07557	positive	0.0019102	-3.7079
324.98943	positive	0.0019191	-3.7057
334.7928	negative	0.0019192	3.7057
186.22151	positive	0.0019206	-3.7053
223.04971	negative	0.0019433	-3.6998
146.96585	negative	0.0019515	3.6978
738.68616	positive	0.0019554	-3.6968
366.68116	negative	0.0019773	3.6916
219.53799	positive	0.002002	-3.6857
123.04019	positive	0.0020091	-3.684
334.84163	negative	0.0020127	-3.6832
982.31791	positive	0.0020534	-3.6737
178.00861	positive	0.0020796	-3.6677
136.07667	positive	0.0021167	-3.6593
305.8162	negative	0.0021231	-3.6579
350.98647	positive	0.0021245	-3.6576
429.21237	positive	0.0021285	-3.6567
395.15548	positive	0.0021289	-3.6566
346.00864	positive	0.0021677	-3.648
468.65135	positive	0.0021699	-3.6476
276.80477	positive	0.0021775	3.6459
332.93335	positive	0.0021816	-3.645
316.04075	positive	0.002186	-3.6441
414.04295	negative	0.0022036	-3.6402
1028.47883	positive	0.0022174	-3.6373
193.92994521	positive	0.0022462	-3.6312
236.95675	positive	0.002247	-3.631
918.77764	positive	0.0022607	-3.6281
624.80978	positive	0.0022808	-3.624
221.84226	negative	0.0022905	-3.622
222.91606	positive	0.0022984	-3.6203
283.00254	positive	0.0023036	-3.6193
194.11745	positive	0.0023381	3.6122
454.05226	positive	0.0023518	3.6094
316.70702	negative	0.0023886	-3.6021
440.90645	positive	0.0023887	-3.6021
412.25931	positive	0.0023968	-3.6005
329.99837	negative	0.002419	3.5961
249.03287	positive	0.0024274	-3.5945
164.83598	negative	0.0024428	-3.5915
431.17084	negative	0.0024635	3.5875
411.12667	negative	0.0024755	-3.5852
252.90303885	negative	0.0024909	-3.5822
133.05181	negative	0.002496	-3.5813
558.82029	positive	0.0024966	-3.5812
132.90003	negative	0.0025069	-3.5792
337.15265	positive	0.0025089	-3.5788
482.35981	positive	0.0025109	3.5785
415.2108	positive	0.0025144	-3.5778
148.04732	positive	0.0025443	-3.5722
740.84701	negative	0.0025575	-3.5698
376.14166	positive	0.0025636	-3.5686
568.84894	positive	0.002592	-3.5634
192.89018	negative	0.0025932	3.5632
332.93267	positive	0.0026033	-3.5614
386.94204	positive	0.0026104	-3.5601
496.11845	negative	0.0026259	-3.5573
294.96146	positive	0.0026631	-3.5506
408.69557	positive	0.002678	-3.548
452.93232	positive	0.0027145	-3.5416
452.01224	negative	0.0027219	3.5403
310.66324	positive	0.0027368	3.5377
382.94791	positive	0.0027378	-3.5375
582.79925	positive	0.0027398	-3.5372
146.96582	negative	0.0027438	3.5365
682.76763	positive	0.0027534	-3.5348
130.15895	positive	0.0027634	-3.5331
226.98526	positive	0.0027634	-3.5331
194.90584	negative	0.0028129	-3.5247
628.9854	positive	0.0028134	-3.5246
316.77871	negative	0.0028208	-3.5234
491.86849	negative	0.0028215	3.5233
526.3503	negative	0.0028356	3.5209
332.7957	negative	0.0028422	3.5198
274.88651	negative	0.0028528	-3.518
327.96468	positive	0.0028533	-3.518
738.50414	positive	0.0028594	-3.5169
136.0215	positive	0.0028893	3.512
264.77887	positive	0.0028965	-3.5108
109.52152	positive	0.0028995	-3.5103
145.92349	negative	0.0029045	-3.5095
688.53102	positive	0.0029063	-3.5092
906.57029	positive	0.0029143	-3.5079
742.72401	positive	0.0029375	-3.5042
296.81989	negative	0.0029429	-3.5033
312.09453	negative	0.0029603	3.5005
133.93012	positive	0.0029614	-3.5004
99.92563	negative	0.0029761	-3.498
621.56769	positive	0.0029778	-3.4977
377.14503	positive	0.0029886	-3.496
175.83969	negative	0.0029989	-3.4944
298.08648	positive	0.0030284	-3.4898
135.89464	negative	0.0030356	-3.4886
566.66978	positive	0.0030497	-3.4864
148.08683	positive	0.0030621	3.4845
968.29509	positive	0.0030662	-3.4839
466.65377	positive	0.0031381	-3.4729
580.80211	positive	0.0031455	-3.4718
748.71367	positive	0.0031624	-3.4693
391.12255	negative	0.0031744	-3.4674
280.87454	positive	0.0031755	-3.4673
694.5221	positive	0.0031838	-3.4661
389.12551	negative	0.0031929	-3.4647
304.70636	negative	0.0032066	3.4627
788.65581	positive	0.0032159	-3.4613
706.22324	positive	0.0032294	-3.4593
95.06029	positive	0.0032325	3.4589
152.90337	positive	0.003277	-3.4524
924.35983	positive	0.0032925	-3.4502
498.86532	positive	0.0032932	-3.45
241.17703	positive	0.0033268	3.4452
328.80149	positive	0.0033322	-3.4445
160.84189	negative	0.0033355	-3.444
394.15212	positive	0.0033357	-3.444
201.90595566	negative	0.0033901	-3.4363
327.95202	negative	0.0034036	3.4344
519.9992	negative	0.0034208	3.4321
807.97366	negative	0.0034256	3.4314
297.16704	positive	0.003442	-3.4291
381.94455	positive	0.0034798	-3.4239
199.91707	positive	0.0034897	-3.4226
320.70098	negative	0.0035012	-3.421
116.10688	positive	0.0035064	3.4203
151.06968	positive	0.0035236	3.418
736.68931	positive	0.0035453	-3.4151
502.85939	positive	0.0035526	-3.4141
334.97382	positive	0.0035548	-3.4138
342.87244	negative	0.0035854	3.4098
382.12269	positive	0.0035894	-3.4093
209.07257	positive	0.0036244	-3.4047
920.59358	positive	0.0036521	-3.401
119.53298	positive	0.0036525	-3.401
216.55297	positive	0.0036731	-3.3983
208.06927	positive	0.0036764	-3.3979
98.0135	positive	0.0036774	-3.3978
688.75874	positive	0.0036853	-3.3968
763.50993	positive	0.003694	-3.3956
1138.18181	positive	0.0037067	-3.394
854.60239	positive	0.003711	-3.3935
464.88542	positive	0.0037174	-3.3926
776.44802	positive	0.0037405	-3.3897
440.86844	positive	0.0037649	3.3866
261.91716	positive	0.0037752	-3.3853
550.22543	positive	0.0037824	-3.3844
216.05137	positive	0.0037831	-3.3843
253.53163	positive	0.0038282	-3.3787
204.04736	positive	0.003844	-3.3768
200.85876	negative	0.003854	-3.3755
242.94313	negative	0.0039164	3.3679
734.69231	positive	0.0039174	-3.3678
556.82321	positive	0.004001	-3.3578
440.9591	positive	0.0040474	-3.3523
137.89172	negative	0.0040519	-3.3518
379.14924	positive	0.0040568	-3.3512
116.08177	positive	0.004057	-3.3512
146.92172	negative	0.0040621	-3.3506
1082.26103	positive	0.0040732	-3.3493
582.56998	positive	0.0040918	-3.3471
408.07903	positive	0.0040958	-3.3467
746.49054	positive	0.0041046	-3.3457
143.06772	positive	0.0041094	3.3451
210.0767	positive	0.0041094	-3.3451
162.83896	negative	0.0041568	-3.3397
323.98609	positive	0.0041789	-3.3372
206.82037	positive	0.0042158	-3.333
397.15962	positive	0.0042185	-3.3327
286.88314	negative	0.0042222	3.3323
618.59393	positive	0.0042778	-3.3261
172.06277	negative	0.0042973	-3.3239
236.97203	positive	0.0043013	-3.3235
340.85422	negative	0.0043199	-3.3214
159.02763	positive	0.0043281	3.3205
224.86483	positive	0.00434	-3.3192
578.80504	positive	0.0043473	-3.3184
671.99752	negative	0.0043578	3.3173
173.07088	positive	0.0043676	-3.3162
411.75764	positive	0.0043788	-3.315
640.75701	positive	0.0043924	-3.3135
322.73723	positive	0.0043957	-3.3132
268.77294	positive	0.0044071	3.3119
332.75014	positive	0.0044441	-3.308
200.80526	negative	0.0044734	-3.3048
193.92997	positive	0.0044974	-3.3023
326.73124	positive	0.0045037	-3.3016
463.26525	negative	0.0045178	3.3002
103.13098	positive	0.0045245	3.2995
372.88106	positive	0.0045335	3.2985
278.80162	positive	0.0045366	3.2982
238.96913	positive	0.0045585	-3.2959
97.07596	positive	0.0045601	3.2957
417.1375	positive	0.0045833	-3.2933
562.63219	positive	0.0046224	-3.2893
468.23709	positive	0.0046264	-3.2889
288.83849	negative	0.0047227	-3.2791
129.09094	positive	0.0047689	-3.2745
638.75988	positive	0.0047991	-3.2715
254.01179	positive	0.0048006	-3.2713
257.91334	negative	0.0048262	-3.2688
379.25007	positive	0.0048573	-3.2658
954.31741	positive	0.0048684	-3.2647
324.76393	negative	0.0048892	3.2626
1016.27144	positive	0.0049037	-3.2612
1028.25206	positive	0.0049279	-3.2589
193.92992513	positive	0.0049787	-3.254
211.07679	positive	0.0049854	-3.2534
148.93521	positive	0.0049897	-3.253
300.9043	positive	0.0049968	-3.2523
102.95664	negative	0.0050023	3.2518
964.34663	positive	0.0050066	-3.2514
176.83649	negative	0.0050106	-3.251
552.60476	positive	0.0050802	-3.2444
359.315	positive	0.0051002	-3.2426
331.91427	positive	0.0051033	-3.2423
922.77212	positive	0.0051112	-3.2415
761.51295	positive	0.0051285	-3.2399
151.07636	negative	0.0051392	3.2389
160.13306	positive	0.0051473	3.2382
453.01295	negative	0.0051673	-3.2364
310.1616	positive	0.0051765	3.2355
95.08543	positive	0.0051913	-3.2341
852.3773	positive	0.0052097	-3.2325
794.64728	positive	0.0052099	-3.2324
906.38844	positive	0.0052258	-3.231
391.28362	positive	0.0052358	-3.2301
135.9709	negative	0.0052424	-3.2295
131.53341	positive	0.0052452	-3.2292
746.71801	positive	0.0052587	-3.228
193.14337	positive	0.0052675	3.2272
388.71157	positive	0.0052923	-3.225
324.0932	negative	0.005418	-3.2138
778.44551	positive	0.005437	-3.2122
304.8939	positive	0.0054665	3.2096
109.06325	positive	0.0054918	-3.2074
284.84077	negative	0.0055349	-3.2037
191.88538	positive	0.0055552	-3.2019
129.13841	positive	0.0055737	3.2003
312.67611	positive	0.0055753	-3.2002
207.93101	negative	0.0055831	3.1995
141.95856	positive	0.0055856	-3.1993
972.33403	positive	0.005606	-3.1976
166.10855	positive	0.0056103	3.1972
191.93155	negative	0.0056126	3.197
136.02149	positive	0.0056247	3.196
106.06822	positive	0.0056257	-3.1959
387.28617	negative	0.0056348	-3.1952
225.55823	positive	0.0056424	-3.1945
914.55859	positive	0.0056445	-3.1943
180.97295135	negative	0.0056446	-3.1943
165.98281	positive	0.00568	-3.1914
264.16015	negative	0.0057623	3.1845
480.30881	negative	0.0057738	3.1836
106.89163	negative	0.0059349	-3.1705
348.85889	negative	0.0059396	-3.1701
204.54336	positive	0.0059682	-3.1678
378.77816	negative	0.0059844	-3.1665
201.91407	positive	0.0059973	-3.1655
216.92238	positive	0.0060011	-3.1652
1024.48413	positive	0.0060446	-3.1617
442.90354	positive	0.0060555	-3.1609
113.9636	positive	0.0060674	-3.1599
174.86085	negative	0.0060769	-3.1592
125.9862	positive	0.006099	-3.1575
172.86761	negative	0.0061635	-3.1524
180.89943	negative	0.0061855	3.1507
207.93104322	negative	0.00621	-3.1489
960.30866	positive	0.006352	-3.1381
272.97396	positive	0.0063762	-3.1363
158.84667	negative	0.00639	-3.1352
506.85319	positive	0.0063994	-3.1345
145.12223	positive	0.0064242	-3.1327
223.29416	positive	0.00643	-3.1323
270.15445	positive	0.0064345	-3.1319
508.85601	positive	0.0064484	3.1309
355.94697	negative	0.0064663	3.1296
245.18565	positive	0.0064667	3.1296
298.09644	positive	0.0064692	-3.1294
399.26562	positive	0.0064815	-3.1285
347.05451	positive	0.0064936	-3.1276
748.52424	positive	0.006508	-3.1265
202.17999	positive	0.0065636	-3.1225
235.17006	negative	0.0065818	3.1211
254.85318	negative	0.0065958	-3.1201
249.09569	positive	0.0066184	-3.1185
179.98549	positive	0.0066525	-3.116
447.34591	positive	0.0066717	-3.1147
365.88813	negative	0.006723	-3.111
124.89442	negative	0.0067239	3.1109
978.27953	positive	0.00676	-3.1084
338.34116	positive	0.006818	-3.1043
161.12834	positive	0.006832	3.1033
594.33862	negative	0.006849	3.1021
134.1173	positive	0.0068595	-3.1014
266.84934	positive	0.0068634	-3.1011
253.14428	negative	0.0068986	3.0987
326.90295	negative	0.0069229	3.097
550.60778	positive	0.0069735	-3.0935
212.88666	negative	0.0069756	-3.0934
314.21676	positive	0.0070105	-3.091
153.07711	positive	0.0070302	-3.0897
232.91724	positive	0.0070528	-3.0881
264.8523	positive	0.0070572	-3.0878
171.97716	negative	0.0070754	-3.0866
730.69786	positive	0.0070949	-3.0853
350.04607	negative	0.0070967	-3.0852
250.05418	negative	0.0071244	-3.0833
718.49004	positive	0.0071292	-3.083
765.507	positive	0.0071388	-3.0824
157.98093	positive	0.0071421	-3.0821
396.27936	positive	0.0071487	3.0817
864.63099	positive	0.0071602	-3.0809
135.1014	positive	0.0071866	3.0792
1020.26595	positive	0.0072413	-3.0755
135.06667	positive	0.0072913	-3.0723
544.61632	positive	0.0073237	-3.0701
130.09744	positive	0.0073639	3.0675
916.59911	positive	0.007447	-3.0622
216.96821	positive	0.0074858	-3.0597
272.86209	positive	0.0075229	-3.0573
445.05928	positive	0.0075414	-3.0561
160.13311	positive	0.0075535	-3.0554
287.88838	positive	0.0076711	3.048
376.25877	positive	0.0077171	-3.0451
298.80692	negative	0.0077283	-3.0444
320.89053	negative	0.0077766	3.0414
450.93531	positive	0.0077889	-3.0407
808.83502	negative	0.0078151	-3.0391
1012.27724	positive	0.0078705	-3.0357
437.23477	positive	0.0079464	-3.0311
112.11194	positive	0.0079583	3.0304
421.23188	positive	0.0079635	-3.0301
316.9476648	negative	0.0079696	-3.0297
165.11337	positive	0.007973	-3.0295
94.045633	positive	0.0079875	-3.0286
470.89341	negative	0.0079981	-3.028
171.10262	negative	0.0080075	-3.0274
115.57355	positive	0.0080828	3.023
476.30568	positive	0.0080947	-3.0223
220.07947	positive	0.0080963	-3.0222
720.48738	positive	0.0081649	-3.0181
290.60926	positive	0.0081668	3.018
200.85873	negative	0.0081733	-3.0176
1086.25549	positive	0.008177	-3.0174
686.76165	positive	0.0081957	-3.0163
902.35092	positive	0.0082245	-3.0146
106.99892	positive	0.0082464	-3.0134
328.99489	negative	0.0084023	3.0044
742.54197	positive	0.0085298	-2.9972
912.37945	positive	0.0085542	-2.9958
584.56781	positive	0.0085562	-2.9957
307.89019	negative	0.0086097	-2.9927
496.68647	positive	0.0086298	-2.9916
1018.26849	positive	0.0086518	-2.9904
423.75777	positive	0.0086647	-2.9896
856.59944	positive	0.008699	-2.9877
189.11312	negative	0.0087031	2.9875
304.13398	negative	0.0087698	-2.9839
140.90343	positive	0.0087779	-2.9834
205.04491	positive	0.0088108	-2.9816
730.51623	positive	0.0088131	-2.9815
196.85299	negative	0.0088357	-2.9803
630.80116	positive	0.0088618	-2.9788
207.01731	positive	0.0088637	2.9787
362.82541	positive	0.0089459	-2.9743
200.10162	positive	0.0089673	-2.9732
846.38835	positive	0.0091262	-2.9647
328.91475	positive	0.0091439	2.9638
343.0083	negative	0.0091772	-2.9621
370.74026	positive	0.0091955	-2.9611
101.07088	positive	0.0092316	-2.9592
303.23259	negative	0.0092338	2.9591
472.87413	negative	0.009259	2.9578
135.08046	positive	0.0093248	-2.9544
328.9033956	negative	0.0094031	-2.9504
476.19193	negative	0.0094142	-2.9498
1040.27748	positive	0.0094831	-2.9463
910.38268	positive	0.0095168	-2.9446
966.34358	positive	0.0095358	-2.9436
558.63827	positive	0.0095556	-2.9426
101.93358227	negative	0.0095876	-2.941
796.46279	positive	0.0096864	-2.9361
86.05995	positive	0.0096985	-2.9355
744.72122	positive	0.0097128	-2.9348
276.05651	positive	0.0097133	-2.9348
118.05424	positive	0.0097328	-2.9338
556.64129	positive	0.0097498	-2.933
432.23732	positive	0.0097721	-2.9319
1130.19203	positive	0.009867	-2.9272
237.89726	negative	0.009917	-2.9248
155.07492	positive	0.010022	-2.9197
525.28749	positive	0.01004	-2.9188
125.98619	positive	0.010065	-2.9177
384.76298	positive	0.010083	-2.9168
346.00865	positive	0.010118	-2.9152
228.16028	negative	0.010166	-2.9129
844.39134	positive	0.01017	-2.9127
319.22389	positive	0.010217	-2.9104
254.82348	positive	0.010395	-2.9021
231.13364	positive	0.010416	2.9011
455.67847	negative	0.010426	2.9007
155.10653	positive	0.010433	-2.9003
149.12838	positive	0.010454	-2.8994
952.32028	positive	0.010466	-2.8988
836.40304	positive	0.010513	-2.8967
167.83664	negative	0.010551	-2.8949
146.92174278	negative	0.010561	-2.8945
164.99373	positive	0.010567	2.8942
616.5962	positive	0.010574	-2.8939
276.98139	positive	0.010618	-2.8919
174.86374	negative	0.010662	-2.8899
316.7785	negative	0.010681	-2.8891
256.82052	positive	0.010755	-2.8857
152.07378	positive	0.010765	-2.8853
962.30553	positive	0.0108	-2.8837
564.67326	positive	0.010807	-2.8834
199.85087	negative	0.010848	-2.8815
276.8837	negative	0.010849	-2.8815
270.98488	negative	0.010853	2.8813
908.38571	positive	0.010863	-2.8809
956.31469	positive	0.010875	-2.8804
229.01153	negative	0.010895	2.8795
139.05012	positive	0.010931	-2.8779
107.96679	positive	0.010951	2.877
792.46878	positive	0.010959	-2.8766
728.47609	positive	0.011128	-2.8693
243.983	positive	0.011135	-2.869
557.11132	negative	0.011263	-2.8634
177.95753	positive	0.011312	-2.8613
142.90051	positive	0.011382	-2.8584
131.0531	positive	0.011413	-2.8571
372.7373	positive	0.011436	-2.8561
310.93075	negative	0.011437	-2.856
171.95938	positive	0.011505	-2.8532
444.71865	positive	0.011566	-2.8506
248.96014	negative	0.011583	-2.8499
409.08229	positive	0.011613	-2.8486
380.76897	positive	0.011679	-2.8459
387.17978	positive	0.011731	2.8438
405.74938	positive	0.011743	2.8433
219.97573	positive	0.011821	-2.8401
214.88379	negative	0.011837	-2.8394
155.99357	positive	0.011877	-2.8378
