m.z	mode	p.value	t.score
412.6434	positive	5.8661E-07	-7.9654
340.04364	negative	6.3178E-07	7.9198
197.46262	positive	6.5874E-07	-7.8943
772.5185	positive	6.8621E-07	7.8693
305.07854	negative	8.2242E-07	-7.7593
285.90801	negative	8.2435E-07	7.7578
339.28847	positive	8.3343E-07	7.7512
761.52297	positive	8.4824E-07	7.7406
529.12816	positive	8.7249E-07	-7.7236
449.17315	negative	8.7379E-07	-7.7227
172.85124	positive	8.8622E-07	-7.7141
366.71092	positive	9.3742E-07	-7.6803
470.67543	positive	9.6321E-07	-7.664
612.3	positive	9.6831E-07	-7.6608
148.00379	positive	1.0045E-06	-7.6388
210.13339	positive	1.027E-06	-7.6255
761.58556	positive	1.0571E-06	7.6083
194.96656	positive	1.0753E-06	-7.598
459.20192	negative	1.0754E-06	-7.598
205.86223	positive	1.0875E-06	-7.5913
264.02578	positive	1.1037E-06	7.5825
114.89268	positive	1.156E-06	-7.5549
230.80982	positive	1.2013E-06	-7.532
409.72378	positive	1.2136E-06	7.526
288.64052	positive	1.2606E-06	7.5034
462.23944	positive	1.3197E-06	7.4763
534.09774	positive	1.3752E-06	-7.4519
187.04497	positive	1.4347E-06	-7.4269
187.54422	positive	1.479E-06	-7.409
236.97208	positive	1.5478E-06	-7.3823
108.08064	positive	1.5865E-06	7.3678
393.11892	positive	1.6206E-06	-7.3553
259.99897	positive	1.6284E-06	-7.3525
334.02791	positive	1.6881E-06	-7.3314
416.63762	positive	1.7237E-06	-7.3192
477.20396	positive	1.7511E-06	-7.3099
704.52005	positive	1.7567E-06	7.3081
424.66936	positive	1.7822E-06	-7.2997
410.16488	positive	1.8016E-06	-7.2934
247.02839	positive	1.8102E-06	-7.2906
146.1175	positive	1.8297E-06	-7.2843
310.09064	negative	1.8332E-06	-7.2832
762.58806	positive	1.8517E-06	7.2774
160.04257	positive	1.9828E-06	-7.2376
598.52922	positive	2.0674E-06	-7.2133
116.89076	positive	2.1309E-06	-7.1958
564.33049	negative	2.1411E-06	7.193
553.10564	positive	2.1649E-06	-7.1866
548.30048	positive	2.1755E-06	-7.1838
418.6048	negative	2.2081E-06	7.1752
460.64647	positive	2.2279E-06	-7.17
288.76827	positive	2.3207E-06	-7.1465
289.10126	negative	2.344E-06	-7.1407
188.45733	positive	2.4049E-06	-7.1259
326.09488	negative	2.4097E-06	-7.1248
342.336	positive	2.4125E-06	-7.1241
188.54443	positive	2.4693E-06	-7.1107
306.82865	positive	2.5114E-06	-7.101
238.84152	positive	2.5306E-06	-7.0966
322.76692	negative	2.6433E-06	7.0716
536.16469	positive	2.6685E-06	7.0662
106.95052	positive	2.6775E-06	-7.0642
350.17699	positive	2.7014E-06	7.0591
282.27876	positive	2.7712E-06	7.0445
293.17877	negative	2.8338E-06	-7.0318
204.12289	positive	2.8591E-06	-7.0267
138.49512	positive	2.9455E-06	-7.0097
828.36509	positive	2.9729E-06	-7.0044
499.18602	positive	3.102E-06	-6.9802
585.04206	positive	3.109E-06	-6.9789
293.03372	positive	3.149E-06	-6.9716
291.02957	positive	3.2253E-06	-6.958
580.55768	positive	3.242E-06	-6.955
308.09064	positive	3.6973E-06	-6.8806
296.96508	positive	3.7497E-06	-6.8726
356.75529	positive	3.7501E-06	-6.8726
391.00138	positive	3.7753E-06	-6.8688
681.29771	negative	3.9909E-06	-6.8375
512.29836	negative	3.9971E-06	6.8366
346.72661	positive	4.2702E-06	-6.7994
366.96039	positive	4.3171E-06	-6.7933
148.50828	positive	4.3607E-06	-6.7877
536.577	positive	4.5395E-06	-6.7651
175.11884	positive	4.6886E-06	-6.747
750.79934	negative	4.7132E-06	6.7441
183.88643	negative	4.7654E-06	-6.738
298.79681	positive	5.258E-06	-6.6831
379.7239	positive	5.3213E-06	6.6764
124.04103	positive	5.3596E-06	-6.6724
171.00625	negative	5.4202E-06	-6.6662
297.15268	negative	5.5352E-06	-6.6545
401.07858	negative	5.5994E-06	-6.6481
318.94415	positive	5.6281E-06	-6.6453
108.90174	negative	5.6639E-06	-6.6418
709.93232	positive	6.0895E-06	-6.6016
115.57849	positive	6.3445E-06	6.579
828.25312	positive	6.3988E-06	-6.5742
255.93862	positive	6.6262E-06	-6.555
608.31764	negative	6.7383E-06	6.5457
448.06545	negative	6.8867E-06	-6.5338
141.05078	positive	6.9884E-06	-6.5257
354.7581	positive	7.0466E-06	-6.5211
392.11562	positive	7.0643E-06	-6.5197
373.06594	negative	7.2286E-06	-6.5071
514.31576	positive	7.244E-06	-6.5059
780.54976	positive	7.4735E-06	6.4888
346.0086	positive	7.5903E-06	-6.4803
710.07636	positive	7.5927E-06	-6.4802
335.1054	positive	7.6135E-06	-6.4787
192.92862	negative	7.676E-06	6.4742
806.54364	positive	7.8169E-06	-6.4642
428.09777	positive	7.8831E-06	-6.4596
239.10566	positive	7.9747E-06	-6.4533
621.01797	positive	8.2668E-06	-6.4336
110.0088	positive	8.6518E-06	-6.4088
147.0298	negative	8.7962E-06	-6.3998
540.32967	negative	8.8004E-06	6.3995
504.26988	negative	9.2808E-06	6.3706
593.9468	negative	9.3532E-06	6.3663
132.06544	positive	9.6791E-06	-6.3477
169.04571	positive	9.7229E-06	-6.3453
457.97176	negative	9.8914E-06	6.336
414.61092	negative	9.9545E-06	6.3325
311.16828	negative	9.9828E-06	-6.331
110.89881	negative	1.0162E-05	-6.3214
144.10186	positive	1.031E-05	-6.3135
713.00441	negative	1.0495E-05	-6.3039
407.75523	positive	1.0839E-05	6.2864
516.83629	positive	1.0922E-05	-6.2823
530.63134	positive	1.0923E-05	-6.2823
191.96198	positive	1.1016E-05	6.2777
296.79981	positive	1.1262E-05	-6.2658
231.09895	positive	1.1274E-05	-6.2652
139.9146	positive	1.1388E-05	-6.2598
180.48914	positive	1.1394E-05	-6.2595
393.24154	positive	1.2222E-05	6.2217
514.03967	negative	1.2291E-05	6.2187
478.32853	positive	1.2426E-05	6.2128
261.00765	positive	1.2586E-05	-6.2059
658.95423	positive	1.273E-05	-6.1999
525.95876	negative	1.2753E-05	6.1989
351.09869	positive	1.2933E-05	-6.1914
421.00502	negative	1.3046E-05	-6.1867
147.07632	positive	1.3711E-05	-6.16
522.59965	positive	1.3857E-05	-6.1544
278.92632	positive	1.4016E-05	-6.1483
174.89571	positive	1.4052E-05	-6.1469
441.05313	negative	1.4136E-05	-6.1437
886.77408	negative	1.4162E-05	6.1427
227.89402	negative	1.4766E-05	6.1204
138.58124	positive	1.5088E-05	6.1089
422.74554	positive	1.5258E-05	-6.1029
464.08431	positive	1.5267E-05	-6.1027
286.77131	positive	1.5327E-05	-6.1005
299.89982	positive	1.5463E-05	-6.0958
300.28914	positive	1.5557E-05	6.0926
260.97211	positive	1.5634E-05	-6.09
277.06148	positive	1.5654E-05	-6.0893
241.51235	positive	1.6067E-05	-6.0754
116.07051	positive	1.6525E-05	-6.0605
234.10812	positive	1.6814E-05	6.0513
416.71124	positive	1.7171E-05	-6.0401
758.56636	positive	1.7409E-05	6.0328
242.07871	positive	1.7801E-05	-6.021
112.08677	positive	1.8455E-05	-6.0019
459.67242	negative	1.8564E-05	5.9988
728.51794	positive	1.863E-05	5.9969
918.32539	positive	1.8988E-05	-5.9869
88.03924	positive	1.9034E-05	-5.9856
336.05167	positive	1.9122E-05	-5.9831
211.94033	positive	1.9354E-05	-5.9768
285.83121	negative	1.9612E-05	-5.9698
138.49506	positive	1.9695E-05	-5.9676
414.71376	positive	2.0296E-05	-5.9517
407.345	positive	2.0476E-05	5.947
509.04018	negative	2.0511E-05	-5.9461
412.71676	positive	2.0841E-05	-5.9377
525.3381	negative	2.1214E-05	5.9284
506.05565	positive	2.18E-05	-5.914
98.91876	positive	2.1989E-05	-5.9095
507.05938	positive	2.2206E-05	-5.9043
265.14751	negative	2.34E-05	-5.8769
636.5186	positive	2.3826E-05	-5.8674
253.17695	positive	2.3832E-05	5.8673
110.9876	positive	2.4719E-05	-5.8481
613.14067	negative	2.4892E-05	-5.8445
291.15983	negative	2.5208E-05	5.8379
371.94101	negative	2.552E-05	-5.8314
259.98188	negative	2.5622E-05	-5.8294
276.15505	positive	2.5713E-05	5.8275
692.70722	positive	2.5845E-05	-5.8248
400.66367	positive	2.5899E-05	-5.8237
188.06185	positive	2.6368E-05	-5.8144
638.51571	positive	2.6456E-05	-5.8126
364.71352	positive	2.6541E-05	-5.8109
409.16152	positive	2.6802E-05	5.8058
531.27348	positive	2.7327E-05	-5.7957
137.49741	positive	2.7664E-05	-5.7893
194.90023	negative	2.7769E-05	-5.7873
544.96517	negative	2.8326E-05	5.777
452.27758	negative	2.8475E-05	5.7743
176.12798	positive	2.8776E-05	5.7688
195.05496	positive	2.9117E-05	-5.7627
119.9928	positive	2.9224E-05	-5.7607
395.95691	negative	2.9627E-05	-5.7536
356.18638	negative	3.0092E-05	5.7455
203.5873	positive	3.0474E-05	-5.739
814.38827	positive	3.1037E-05	-5.7295
131.11778	positive	3.109E-05	-5.7286
100.91686	positive	3.1139E-05	-5.7278
128.01919	positive	3.118E-05	-5.7271
389.10219	positive	3.1308E-05	-5.725
196.87769	positive	3.1464E-05	-5.7224
447.1338	negative	3.1547E-05	5.721
482.70126	positive	3.17E-05	-5.7185
212.83884	positive	3.176E-05	-5.7175
297.15855	positive	3.1947E-05	-5.7145
400.9089	negative	3.214E-05	-5.7114
290.78154	positive	3.2757E-05	-5.7015
327.96965	negative	3.3097E-05	-5.6961
303.00584	positive	3.3486E-05	5.6901
206.67355	positive	3.3813E-05	-5.6851
426.08362	negative	3.4434E-05	-5.6757
151.03517	positive	3.4831E-05	-5.6697
645.01629	negative	3.4933E-05	-5.6682
338.98636	positive	3.5006E-05	-5.6671
203.13879	positive	3.5707E-05	5.6569
370.67508	negative	3.573E-05	5.6565
590.5863	positive	3.6151E-05	-5.6505
412.88173	negative	3.6283E-05	-5.6486
88.06303	positive	3.6589E-05	-5.6443
284.80233	positive	3.6707E-05	-5.6426
280.82595	positive	3.6773E-05	-5.6417
402.66082	positive	3.715E-05	-5.6364
232.90201	negative	3.9298E-05	-5.6075
301.50606	positive	3.9305E-05	-5.6074
851.39415	positive	3.9332E-05	-5.607
108.08068	positive	3.9658E-05	5.6028
234.89353	positive	3.9734E-05	-5.6018
281.13808	positive	4.0525E-05	-5.5916
770.5065	positive	4.0678E-05	5.5897
538.98736	positive	4.0787E-05	-5.5883
287.99086	positive	4.1097E-05	-5.5844
245.44319	positive	4.1138E-05	-5.5839
710.64849	positive	4.1917E-05	-5.5743
832.35853	positive	4.2063E-05	-5.5725
356.86889	positive	4.2236E-05	-5.5704
795.45522	positive	4.2412E-05	-5.5683
387.86664	positive	4.2605E-05	-5.5659
128.03518	negative	4.2709E-05	-5.5647
433.73434	positive	4.2978E-05	5.5614
309.16515	positive	4.301E-05	-5.5611
621.31768	positive	4.5231E-05	-5.5352
245.02794	positive	4.5263E-05	-5.5349
298.80689	negative	4.5309E-05	-5.5344
408.84004	positive	4.686E-05	-5.5171
242.02195	positive	4.7641E-05	-5.5087
167.0127	positive	4.8398E-05	-5.5006
437.68678	negative	4.9071E-05	5.4935
362.05041	negative	4.9115E-05	-5.4931
621.19156	positive	4.9427E-05	-5.4898
102.07427	positive	4.9823E-05	5.4858
410.73164	positive	4.9917E-05	5.4848
442.17006	positive	5.0233E-05	-5.4816
460.2687	positive	5.0409E-05	-5.4798
348.75031	positive	5.0548E-05	-5.4784
203.22291	positive	5.2009E-05	5.4639
337.17108	positive	5.201E-05	-5.4638
274.79156	positive	5.2248E-05	-5.4615
443.81113	negative	5.2374E-05	-5.4603
429.10121	positive	5.2971E-05	-5.4545
224.83904	negative	5.3212E-05	-5.4522
710.36241	positive	5.3324E-05	-5.4511
127.00615	positive	5.3558E-05	-5.4489
532.62838	positive	5.5698E-05	-5.429
439.68363	negative	5.6183E-05	5.4245
502.2794	positive	5.6488E-05	-5.4218
407.91757	negative	5.7831E-05	-5.4098
474.66946	positive	5.7954E-05	-5.4088
868.57928	positive	5.8328E-05	-5.4055
520.60302	positive	5.8999E-05	-5.3997
296.22284	negative	5.969E-05	5.3938
192.15937	positive	5.9933E-05	-5.3917
577.02793	negative	6.0282E-05	-5.3888
353.04863	negative	6.0314E-05	-5.3885
332.93286	positive	6.0719E-05	-5.3851
470.69895	negative	6.1141E-05	-5.3816
558.11945	negative	6.1802E-05	-5.3761
179.05592	negative	6.1805E-05	-5.3761
366.89754	positive	6.2962E-05	-5.3667
148.06034	positive	6.4115E-05	-5.3575
270.79748	positive	6.505E-05	-5.3502
472.67238	positive	6.5471E-05	-5.3469
228.19563	positive	6.6079E-05	-5.3422
446.673	negative	6.733E-05	-5.3327
446.25301	positive	6.7349E-05	-5.3326
976.28306	positive	6.7651E-05	-5.3303
214.83586	positive	6.8493E-05	-5.3241
626.1076	negative	6.9297E-05	-5.3182
266.02194	positive	6.9714E-05	-5.3151
154.8803	positive	6.9937E-05	-5.3135
275.98642	negative	7.1633E-05	-5.3014
274.5466	positive	7.372E-05	-5.2869
272.79451	positive	7.4679E-05	-5.2804
642.50997	positive	7.4865E-05	-5.2792
247.02924	positive	7.62E-05	-5.2703
222.86765	positive	7.6706E-05	-5.2669
685.43302	positive	7.7945E-05	5.2589
344.28836	positive	7.8528E-05	-5.2551
153.02983	positive	7.9278E-05	5.2503
237.00522	positive	7.9994E-05	-5.2458
290.03219	negative	8.048E-05	-5.2428
173.06709	positive	8.0608E-05	-5.242
464.2488	positive	8.0991E-05	5.2396
443.67761	negative	8.2357E-05	5.2312
146.11748	positive	8.4227E-05	-5.2199
135.89468	negative	8.4727E-05	-5.2169
396.66947	positive	8.5089E-05	-5.2148
241.09149	negative	8.5522E-05	-5.2122
417.64342	negative	8.6095E-05	5.2089
214.14122	positive	8.6418E-05	-5.207
338.21014	positive	8.6506E-05	-5.2065
445.67463	negative	8.7162E-05	5.2027
248.87032	positive	8.7221E-05	-5.2024
640.51274	positive	8.7227E-05	-5.2023
146.04579	negative	8.7967E-05	-5.1981
191.93448	positive	8.8191E-05	-5.1968
361.01203	positive	8.845E-05	-5.1953
173.05737	positive	8.8677E-05	-5.194
254.03338	positive	8.8962E-05	-5.1924
526.59437	positive	8.9631E-05	-5.1887
186.86544	negative	9.0455E-05	-5.1841
934.5436	positive	9.3105E-05	-5.1696
404.68518	positive	9.3589E-05	-5.167
338.7843	positive	9.3982E-05	-5.1649
487.95473	negative	9.4433E-05	5.1625
300.15823	positive	9.5425E-05	-5.1573
129.95862	positive	9.7254E-05	-5.1478
382.83629	positive	0.0001008	5.1299
860.36515	positive	0.00010208	-5.1236
183.07809	positive	0.00010404	-5.1141
126.00308	negative	0.00010498	-5.1096
122.02245	positive	0.00010557	-5.1068
406.69806	positive	0.00010571	-5.1062
241.00162	positive	0.00010671	-5.1015
796.41652	positive	0.00010696	-5.1003
243.03759	positive	0.000108	-5.0955
415.64636	negative	0.00010853	5.093
162.11233	positive	0.00010862	-5.0926
291.90637	positive	0.00010878	-5.0919
804.4482	positive	0.0001098	-5.0872
169.49534	positive	0.00011046	-5.0843
197.9799	positive	0.00011177	-5.0784
123.03036	positive	0.00011249	-5.0752
703.57247	positive	0.00011787	-5.0519
350.98329	positive	0.00011874	-5.0483
411.65236	negative	0.00012113	5.0384
137.99664	positive	0.00012155	-5.0367
177.09011	positive	0.00012188	-5.0353
480.34402	positive	0.00012331	5.0295
199.02802	positive	0.00012388	-5.0272
120.06545	positive	0.00012438	-5.0252
139.50304	positive	0.00012502	-5.0227
133.5146	positive	0.00012799	-5.011
444.67798	negative	0.00012939	5.0056
410.85968	negative	0.00013086	5
291.9065	positive	0.00013093	-4.9998
252.96687	positive	0.00013131	-4.9983
468.896	negative	0.00013159	-4.9973
114.0661	positive	0.00013161	-4.9972
390.73304	negative	0.00013451	-4.9864
572.61557	positive	0.0001357	-4.982
