"m.z" "p.value" "t.score" "r.t"
73.02806 0.303943604271038 1.95704053854538 45.28424
74.02331 0.580486831095424 1.12885704429167 42.38736
75.0073 0.310236896441211 1.92401881252653 44.56723
78.95758 0.586844568548695 1.10685154537082 47.50263
79.95596 0.538609326125893 -1.23584039369982 45.77571
80.96383 0.470984367670097 -1.41569536547823 46.1082
82.95267 0.126953681837464 2.89169471820908 961.23624
82.95267 0.126953681837464 2.89169471820908 987.16095
85.02802 0.652769615007377 0.942866770415755 43.7751
85.06443 0.471597261900817 1.41257635217241 103.92175
87.00713 0.258502344988994 2.16402062099685 40.36379
87.04369 0.587925704278364 -1.10322102710625 54.13107
87.04371 0.636419942236376 -0.981048878789416 92.79906
88.03894 0.178351203411716 2.55436133469399 42.31768
89.02294 0.209711929427491 2.36994220597112 44.55654
91.05387 0.589587203297184 -1.09609667114895 222.77209
92.92662 0.109587680890825 3.05464035397628 938.1796
92.92672 0.639070858090611 0.976036372266103 44.44156
93.03316 0.829761626276883 -0.514543271068231 74.91235
94.02841 0.508475200751231 -1.31541019863087 44.51456
94.97934 0.711629469027357 0.798282954235134 945.85999
94.97936 0.659792784794385 -0.927705735052648 900.80804
94.97942 0.189930613824076 2.47958242045149 46.04715
96.95865 0.914179539973732 -0.255280905106997 1016.32343
96.95868 0.745231244659144 -0.72714802444803 957.97879
96.95879 0.167522242205041 -2.6013506522659 97.63785
96.95881 0.722698164623213 0.77412516005975 125.26746
96.96827 0.115414971626062 2.96948313882398 46.25766
98.02336 0.873723915194444 -0.380028549027643 45.64734
98.95444 0.711629469027357 0.798523389796041 957.5932
98.97259 0.948768247086331 0.16760378453275 46.55376
99.0074 0.220884589447461 2.3361252817707 90.87704
99.0438 0.368701172967413 -1.69669917306221 62.87506
99.04382 0.97235063235775 0.0991288305285459 45.86692
99.92439 0.147356963661348 -2.74168251176382 891.0188
99.9244 0.30167119859594 -1.97653440104775 847.7363
99.92441 0.707592067380189 0.808005292280543 680.1196
99.92441 0.707592067380189 0.808005292280543 720.9035
99.92441 0.707592067380189 0.808005292280543 615.69348
99.92441 0.707592067380189 0.808005292280543 750.8642
99.92442 0.820053011876524 -0.534963888987463 813.92166
99.9245 0.761466942933934 0.68747937096394 23.63293
100.03908 0.754777600397236 0.706396345018184 43.87802
100.92456 0.148976201371596 -2.72997585769094 890.50629
101.02304 0.199480689081891 2.4213563535461 42.41582
101.05947 0.773232252572723 0.658197686992111 163.40788
101.05947 0.773232252572723 0.658197686992111 183.20567
101.05947 0.773232252572723 0.658197686992111 59.52457
102.05474 0.580486831095424 1.12920804893114 42.66832
102.98728 0.409555314483117 -1.58865828564022 35.18097
103.03878 0.189930613824076 2.48034573878822 47.3265
104.03388 0.726879276661614 0.762748522613684 41.07814
105.95913 0.952111776743568 0.156146523284813 958.86066
106.04113 0.89506756515858 0.319005653392777 124.9265
107.01268 0.655848702845706 0.934513528284489 59.85443
107.02378 0.843137541218763 0.468798665363457 955.73132
107.04893 0.801026854108329 0.579525299557608 120.93501
107.04896 0.974911035314328 0.0913194916394706 78.37947
108.04414 0.340811238539658 1.82100153599733 45.46873
108.04426 0.766931677334898 0.672401053531645 94.14465
109.00305 0.899295748365181 -0.304633814270473 1029.6521
109.00308 0.915057270586199 0.251587377042044 989.59009
109.00308 0.915057270586199 0.251587377042044 955.31857
109.02827 0.63032666523207 -1.00108538962044 90.72294
109.02828 0.763454812240072 -0.681766910804717 59.11987
109.02836 0.573042542691369 1.14746752425114 44.54334
110.02363 0.381374771587333 -1.66331425154413 44.8267
111.00751 0.926844120400401 0.220977765125039 45.7888
111.04393 0.761198380775412 -0.688838320195542 45.55042
111.08031 0.950359486386907 -0.165263640545257 112.34896
112.03918 0.674840606537781 0.893498348056087 45.27097
112.98436 0.660287854005977 -0.922914140431758 875.92688
112.98453 0.769839713110941 0.664351225930556 24.66043
113.02315 0.36631363279991 1.70448217507834 43.28145
113.05959 0.58184883460828 -1.12181449474758 61.48545
114.01842 0.609031819973687 1.04502199566168 45.1654
114.05485 0.447024490245307 1.46963950485544 43.36954
114.92511 0.284786339689691 2.04303682599997 974.53738
