"m.z"	"r.t"	"p.value"	"t.score"
98.9188	74.4	0.000602899	3.505443635
98.9613	168.8	0.028910884	-2.203770299
98.9692	186.8	0.913769379	0.108473897
98.9842	163.4	6.71E-07	5.183028989
99.0106	152.6	0.032644789	-2.153722174
99.0136	159.9	0.958866029	-0.051659779
99.0137	153.7	0.473768097	-0.717958717
99.0198	167.2	0.039843491	2.071599346
99.044	266.4	0.090562625	1.703103666
99.0552	275.4	0.005255613	2.826173028
99.0621	276.7	0.031366581	-2.176697742
99.0803	218	0.039291241	-2.082099166
99.0987	272.7	0.033386886	-2.150584363
99.178	112.4	0.003510393	2.960753101
99.5122	172.5	0.350543771	-0.936041222
99.5311	195.6	0.077947275	-1.774856887
99.8995	89.2	0.000921421	-3.432186629
99.948	206.6	0.53997573	0.614141752
100.0111	171.8	0.383682532	0.873373087
100.0138	168.7	0.127351143	-1.531988772
100.0243	143.3	0.019309117	-2.39401555
100.0288	227.5	0.507173693	-0.66486648
100.0328	166.5	0.172641733	-1.37159975
100.0393	274.8	0.724603708	-0.352950083
100.0505	65.5	0.148814777	-1.453879159
100.0564	56.3	0.000265265	-3.829484351
100.112	154.1	0.092952373	1.689291483
100.371	162.2	0.01056018	2.584399404
100.5099	173.4	0.158149984	-1.417906734
100.9169	74.6	0.01454312	2.469672541
100.9322	202.4	0.637139608	0.472627396
100.9568	199.6	0.419707368	-0.808952073
100.9884	107.6	0.025929776	2.247530478
101.0113	174.4	0.397639239	-0.847984939
101.0597	239.4	0.17569758	-1.360468437
101.0709	127.6	0.050606436	1.968134747
101.079	279.7	0.592996544	-0.535649078
101.079	48.3	0.787146779	0.270474692
101.0847	273.6	0.095502958	-1.676495727
101.0872	277.1	0.0817921	-1.751429813
101.0961	229.6	0.8857367	-0.143936503
101.1073	149.7	0.101730147	1.645683141
101.1154	136	0.291954042	1.056991327
101.5087	169.8	0.343289787	-0.950356269
101.5276	160.5	0.994391822	0.007038755
101.8483	190.5	0.021303036	-2.324995176
102.0134	244	0.045229269	2.016788499
102.0338	162.6	0.420604637	0.808178868
102.0549	142.8	0.887490274	0.141765084
102.0994	273.7	0.442410047	0.769971133
102.1277	99.5	0.000779323	-3.418978436
102.5323	167.5	0.073416655	1.801424118
102.5355	173.9	0.419817326	0.809396651
103.0318	166.4	0.375971208	0.88759315
103.039	263.9	0.032384582	2.165872784
103.0503	150.3	0.287122158	-1.06883182
103.0543	99	0.155133926	-1.42987553
103.0583	117.8	0.954809043	0.056786651
103.0683	162.1	0.004924403	2.860434017
103.0753	278.8	0.834699128	0.209064428
103.0866	275.4	0.882142711	-0.148476854
103.0947	269.1	0.01478047	2.466149235
103.1311	61.1	0.056584098	-1.922539781
103.5091	41.8	0.016865483	-2.419896863
103.6269	129.6	0.004863892	-2.864531479
103.8234	96.1	0.032976387	2.151625884
103.9481	91.7	0.023168163	2.291372077
103.9556	138.7	0.835790767	0.207617725
104.0302	168.1	0.522983806	-0.640018226
104.0529	100.1	0.069944755	-1.830618686
104.0576	103.9	0.017594239	-2.411893832
104.0706	127.1	0.704817781	0.379674897
104.0872	102.6	0.179363769	1.348699851
104.0998	102.4	0.886132691	-0.143445128
104.1069	104.9	0.002361989	3.090188089
104.1145	102.4	0.546279835	0.604569412
104.1266	104	0.329282758	0.978474148
104.2293	126.8	0.295378628	1.050535869
104.3915	103.6	0.10359162	1.637784909
104.4301	127.1	0.140771437	-1.486204242
104.9923	62	0.002429973	-3.09887209
105.0162	180.8	0.374142219	-0.891268636
105.0335	267.3	0.861068281	0.175312991
105.0335	30.3	0.057768157	-1.911164004
105.0369	46.9	0.201862748	-1.282576687
105.0384	277.4	0.795259271	-0.259950628
105.0423	74.2	0.189644561	1.319891767
105.0699	272.3	0.822488049	0.224694211
105.0699	30.9	0.247716669	-1.160279163
105.074	137.3	0.541932063	0.611447487
105.091	265.1	0.576203636	-0.560101809
105.091	30.8	0.337217556	-0.962893763
105.104	105.3	0.020409625	2.34563741
105.1103	104.2	0.000910138	3.376917778
105.1132	104.1	0.832685359	0.211589532
106.0007	64.3	0.000114834	-4.083653479
106.0289	143.9	0.459045275	-0.743786369
106.0368	32	0.217198104	-1.241805995
106.0499	119.5	0.876278578	-0.156047831
106.0862	103.4	0.833640822	-0.210352325
106.0944	29.9	0.833211944	-0.210896885
106.1112	104.1	0.002541212	3.067508743
106.1137	103.4	0.044706588	2.022278098
106.9506	96	0.093680654	1.685317808
106.999	62	1.12E-05	4.522807906
107.0255	159.3	0.970137513	0.037497201
