samples,Sample008,Sample009,Sample012,Sample014,Sample015,Sample016,Sample019,Sample030,Sample031,Sample032,Sample033,Sample034,Sample036,Sample037,Sample042,Sample043,Sample044,Sample045,Sample053,Sample054,Sample056,Sample063,Sample066,Sample068,Sample069,Sample074,Sample075,Sample081,Sample083,Sample093,Sample098,Sample001,Sample002,Sample003,Sample006,Sample007,Sample018,Sample020,Sample021,Sample022,Sample024,Sample025,Sample028,Sample057,Sample058,Sample064,Sample073,Sample076,Sample078,Sample079,Sample082,Sample084,Sample085,Sample086,Sample087,Sample088,Sample089,Sample091,Sample092,Sample094,Sample096,Sample097,Sample099,Sample100,Sample004,Sample005,Sample010,Sample013,Sample017,Sample026,Sample029,Sample035,Sample038,Sample039,Sample041,Sample046,Sample047,Sample048,Sample049,Sample050,Sample051,Sample055,Sample059,Sample060,Sample061,Sample062,Sample065,Sample067,Sample071,Sample072,Sample077,Sample080,Sample090,Sample095
70.259__441.08,6974879,8868120,10435485,8706933,12255842,10406803,11315670,6971055,6546276,9147954,11008667,11859026,9978275,10100088,12499876,9258200,9836082,9207955,10687792,10353085,9355067,9118445,9012126,9606733,9704198,5710475,10127061,7803917,7001611,8747563,9851814,9794408,8200143,4174575,9095508,10508985,9264454,10195597,11112159,10913008,9888344,9686577,7902150,10975291,10463930,11353322,8333314,6191565,11700865,9754638,10095457,9751210,6202986,7858181,4955234,6086300,6518879,11551695,11006245,11429749,10507523,10421646,11593818,12418605,11876810,11596779,7017756,10580569,9206355,8338127,10699484,8401886,9189239,10116499,9605610,10745700,7011013,9612730,5544833,11224331,9334218,11199759,9725641,8780001,10146526,5538153,9789635,7250083,8777585,9936022,10767000,7491231,8603478,12877475
70.483__537.81,4435407,4643224,1577562,2765094,1985163,4903634,2384153,2559079,2095330,2891763,4170907,2650346,8684637,5151707,2748622,5003156,4497811,5598723,1543628,1862357,1638254,2471796,1643598,3624352,4562970,3406034,2267727,2677787,7281070,2013158,1722089,660752,531888,308600,503796,599277,730728,530017,568869,637052,673419,726620,504766,636144,715510,648554,579902,424018,664857,562472,553005,637265,454536,584933,372931,210212,462151,693181,687932,643048,767225,555446,705069,425529,1346527,1239261,1538506,765671,602249,996813,954705,916374,1210531,1164797,1517255,696104,1051811,1141120,933126,816721,1540974,1297572,1231063,869847,1298176,813887,1183674,1216543,1288610,1001594,784593,1023952,941925,784950
101.0231__43.64,174564169,111310731,87946256,104580309,93244085,100670149,69017304,104947735,108117720,105611024,102414331,99667407,91158661,78492433,104906126,66308431,75537838,184867111,154170125,116321288,91998399,264027123,182569002,192534371,202088389,168835071,126470526,273620026,156348830,84540016,54968049,76028661,128882946,124861541,134599594,129164354,60795281,87096649,81069535,136708736,97299890,102999854,96369519,124136381,120579954,227173073,172800055,95640231,105718864,132428477,278418348,150764571,191887930,167364680,121826561,87188964,37464171,100012955,116399753,148810280,101754671,129295573,99959035,118937737,99087955,138485521,111638518,152394238,71619001,68765400,104204331,75066088,93877297,127182550,153677429,135315904,120539055,152245125,86802390,92482152,164136052,88312740,82423493,109545434,109829421,180568334,113113013,163459586,123590335,84115993,124333912,82424650,96147705,124907643
71.0125__39.87,21651709,21814964,20056581,20781491,23960622,21174957,16865646,19129331,24539546,22610708,17404549,19216253,19038123,19156026,23429219,22468024,25259325,23177458,28805107,24641096,23007835,20325343,23877066,18183280,13004160,23622899,23872191,21299081,20088618,20014647,21457378,20287515,26424125,18462400,23216755,25062122,19396447,20738531,23574989,21250242,22460339,19003970,19267390,22287201,25691571,16803838,27784384,19889935,24113349,25908444,19846506,18586915,18656732,19332479,12842809,22837968,16649345,21338402,20713494,23999113,23739116,30303244,29216766,27402254,28467431,21626930,17501021,20149323,18297157,17089994,19998169,19628760,23387506,20022469,31867005,21318410,18428629,16414103,18068560,22664286,21051969,22119358,22622183,27007680,19988884,17771177,14897360,15877748,20886362,19570565,21213776,22472290,18119945,25204251
71.0125__43.64,12735707,13611973,4916023,8251195,6542983,14938553,7693197,7801168,5959118,9033437,12496747,8482103,26061872,15699752,8894403,14803528,13065558,15261294,4255343,5508858,4797219,7333788,4756554,9929285,13731058,8507828,6568582,7365220,21160172,5965034,4847743,1271912,1304415,1712987,2026735,1914546,1293895,2024780,2246537,2505361,1896975,1721419,2122807,1739721,1201959,2391633,1353221,1568056,1662730,969909,1957462,1244349,1807891,1998437,2454614,277921,1847842,1937360,2321947,2055544,2184013,2512567,3124308,1416633,4761968,3690144,4618820,1803561,2792855,2410927,2911634,3299487,3426837,3660753,3395959,1530053,2473359,3624807,2201863,2606904,4695711,4808603,3457726,2017580,4433728,2029210,4175150,3930748,4139780,2462776,2457575,2383200,3049135,2024906
71.0125__50.32,11840506,10628855,9262458,8644796,8494268,8467698,7685971,11751185,10112578,11233105,11220142,10497536,8055270,9100121,7794456,6324224,8573216,14419234,14258385,10857135,9022488,12427201,14381951,14902891,11252676,15867571,11631929,14756511,13091155,11931234,8766771,9711935,10579786,12317807,11639281,11230401,8768076,10855773,8560526,9782150,10166345,13455093,12841946,9674473,11725116,13317245,13465449,9974202,9643886,12828844,13135862,10876109,14459286,12257303,15715824,13366489,13772647,11303083,10341181,10072160,8523079,11307484,13479781,10925293,9825864,10539016,8523486,12027647,7749321,12788553,11352294,10126391,9053685,8810346,13980246,15299251,13640668,12257575,12059151,14015680,11846322,8741821,7643642,9711765,11277815,12771084,12299726,13651278,11557107,12214882,11142280,9742246,11107005,11792680
101.0595__166.09,7572475,4800147,3010410,4424815,5142841,3604798,2578907,5219472,4196707,5673198,4662080,5016703,3768645,3501654,4524446,3157535,4010018,5175537,4708067,5473096,3904480,6961399,6478047,5401866,5681390,4321342,4674519,6693323,6614199,5082934,4078551,3911118,7025992,4963222,5295068,4505216,5205368,4710736,2936042,4636792,3290419,5129733,5173107,4355382,7633980,6887752,6064510,4188103,4390053,8310649,5582942,5075583,6228924,4265272,4092452,5040320,5456327,6065119,7034950,3693969,5365258,7288204,4004634,6087997,4069275,5516824,3956085,5931547,5082715,3490913,3916078,4104774,2903727,4737181,7410749,8049127,5857408,4487693,5853037,4438274,4507630,2749845,3616436,4340948,4619772,9520565,4402758,6393081,3728383,4530150,5249193,4746433,4729972,5314871
131.0815__39.87,19836809,22571394,17601466,15738846,14992457,17262181,16363115,15030326,13098770,14933743,15566431,15972910,13794873,16031646,11990982,16979532,19524620,12692360,11924203,15847014,13637132,15266230,18033991,12970881,17211626,11172256,19506959,13971933,14505583,19524234,17120424,18382282,10915420,14139655,17094913,12507455,15848660,16195354,14103218,11991824,13762544,16103819,16141747,17360694,17675733,17018240,15264830,17401437,24184572,21238901,20478614,14922728,11970420,16118446,14676672,14632877,15507225,21294114,14446071,20420152,18986988,13891216,14160849,22633246,14644148,16806647,12830920,13985041,13683028,17016394,16344956,11789389,16459750,16926274,13076144,19453027,17046290,21250558,13033358,20821935,14178298,18639452,21353243,12640278,12993098,14001833,19428057,13648318,13882308,20641043,15621307,16658481,13967775,15588426
102.0265__43.64,7093182,3351789,3084477,4196078,3151034,3208236,2422358,4085964,4045912,4070772,3747977,3654724,3346565,2782475,3448037,2080508,2488784,7489963,5488588,4721664,3619787,10743407,6806369,7450414,7835282,5982782,3787197,10581928,6371841,3151100,1355454,2764102,4172349,4215882,5220981,5226803,1733818,2873520,2737603,4837977,3070402,3697452,3475232,4623885,4312446,9363449,7032170,3684159,3544201,5272129,10896339,5695499,7447617,5783729,4616719,3211355,869620,3773154,4559650,5109981,3663064,4865896,2704276,4010110,3244734,4734168,4042557,5977013,2605189,2328957,4379493,2376903,2728174,4174267,5512620,4999632,4451946,6057229,3207632,2790675,6230799,3386416,2662369,3756011,3986150,7147822,4306726,6468197,4587981,2872417,5165289,2746834,3284898,4181141
102.0548__41.23,8463056,8783737,6640485,7605074,4315049,7933286,7181846,7934472,7897786,8272745,7598824,9069315,6113350,10173799,6321697,6674455,8436529,7283900,6850495,9006504,7754358,4935058,9093624,6907422,6580988,11206236,10561528,7673660,8679931,8424941,10957321,7679215,6434223,9781772,8510571,7702129,10293531,10828302,9759784,6449942,7759219,9642967,8984195,8335304,10584412,6617342,8278835,9217353,9493814,11974625,7612524,6450927,5492721,8888831,10865986,10707923,8892433,11179660,10055753,7305158,10780140,10731260,9639920,9029540,5727951,9055359,9916806,9796268,10845484,7830812,6350790,8293755,7737564,6398065,11839177,10529766,9227328,6098488,7534851,6810098,5675265,8250649,10089536,10752224,5121989,8941396,10449069,4531390,7540141,8786336,9508530,13683891,9391056,7165047
132.0114__42.57,6562324,12289069,8642167,7957031,7203690,15694136,9594004,6769581,11012160,4331492,11811441,6546192,11266701,8611012,9215486,8500160,13320480,11939217,8616647,10551906,8063251,3701852,12708053,5139340,4309634,5001500,8888590,4395091,5438454,7506505,9707839,10925625,5276133,7020906,8481354,6926789,2304342,3166725,9664141,6362098,20707666,11675805,18536422,12569016,10608177,4686759,7774189,2341040,17134463,5453161,10619166,5332288,6913551,8620987,8907298,13726480,6900806,6679892,6347260,18783127,7795632,11654157,17503334,6830115,5604574,4803163,8644959,10886821,3080738,13732226,5299389,8101478,12554857,9621338,6329551,24410744,12354297,10899180,398292.2,5920910,5898991,13648310,1991461,7105186,2106877,2608908,11983220,2615405,5400863,10095679,4750573,4793982,7862432,13669510
132.0291__41.23,22591204,32357073,22493252,28514405,14714843,25896831,19614617,24679642,23657537,25055309,25172059,25555407,13256494,38157137,32691468,45301679,27283307,14706735,13572658,26497812,29902524,7600713,17251211,8927335,10839798,24797943,42127041,11860962,13308244,34140589,64038298,30798365,16114561,31498477,20532147,21580215,32823345,26598930,48147516,11663512,37126075,34636961,28319019,22536790,50777979,10816120,14023813,29728505,33636502,54287799,15146224,11384610,12698857,23876956,20672783,40476064,36472050,34206480,26226825,19910129,38481778,31576118,43874250,38825165,19305366,27165405,21681403,24470464,33413208,35193483,20274670,38496058,31600197,16515780,29747703,27236861,22274340,13071652,32223660,53025845,10749535,23799757,28377818,51370858,16288233,18612641,44354384,6769395,20510053,25507356,28815515,45693915,25727906,23758165
72.9918__43.1,5510625,5022885,4022485,3942984,3506687,3655509,3690077,4419778,4009826,3511315,5055858,4161627,3468580,4213056,3733081,3291488,4269103,5468668,5062662,5160039,3725528,4839184,4612104,5781429,4532566,5849038,4904439,5019524,5442944,5128882,5980039,4543925,4291437,4975440,6136451,4626862,3946292,5417323,4654268,3851531,4185491,5834165,5363688,4277896,6683477,4962389,5035836,4527814,4315067,7843177,5829994,4107209,4544117,5271755,7376226,5880482,5221310,5826702,4670408,3839078,4805281,5196878,6890277,5944655,4096521,5072409,3951425,6270505,4819958,5523938,3228841,3392371,3890962,4026582,6899261,7052448,5609642,5376425,4883959,5709219,4731444,3973523,3887415,5041527,3690244,5669309,4476853,4948535,3756793,5492759,4663263,5039915,4874644,7040752
73.0282__43.1,4740942,4758371,3303568,4249341,4466169,4248899,1969103,3037834,4423276,3995901,2542420,2763267,2741288,3341599,4753525,3990361,5260593,4592017,6824826,4539698,4615651,3744493,4498719,3196513,1572699,5496303,5610531,4088758,2845267,3776012,4123356,2305293,4442368,1999296,4629790,5562501,2634309,3418245,4301133,3225367,4867913,3773195,2960209,4458290,8282734,2399609,6405927,3506967,5516309,9016113,4040004,2160986,2943103,3589884,1461838,4608480,1637400,3851985,2803220,5242548,4747757,6393972,7669859,4765053,4903089,4048445,2616162,3722084,3179121,2198743,3476818,3564626,4459190,2921696,8474561,3860975,2706933,2480968,3203967,3660285,3575394,4212135,4869172,7400064,2812294,3121284,1838938,2296319,3970375,3104488,3956440,5439600,2903768,5969595
73.0282__51.69,19285515,18751133,13618473,12331339,10071232,14417844,12561113,16040831,11427339,12558232,13805659,14899601,9857595,12039877,11028786,12381531,12655401,17689780,14618861,13176070,15031288,17427879,21134569,16545923,16590060,13398999,16501750,16355870,14298733,11837228,12480824,11463286,14014885,13477495,17148208,14487224,9214555,12734564,12497441,11724776,15710407,22469840,17097117,12203870,8736027,14636371,16050421,12296297,16595246,10860276,20390232,10504598,18992605,13550375,19714593,15509492,9966199,15628634,17357662,16652154,14705694,14955139,13871553,15521874,16433534,17491049,11022603,19166236,10176221,12696192,17596436,13749494,10716614,15003186,17188109,13568014,15051386,16370881,13485156,13490517,15159922,12353026,9848975,16104910,12093430,18094646,14551229,14511367,20084922,10881805,17513595,14319454,10208021,16714277
160.8413__53.29,144366834,140795212,135551737,131023556,137586098,122944262,98060407,105152840,91005053,100174464,75677575,119068822,104707521,98077595,116452201,112645491,126560449,78028197,137674163,99263480,117239595,92250448,110370855,95306901,99295170,92931828,111982581,93794294,94428882,112623536,85347183,120965349,117603085,108420334,125993063,128352800,102566822,123498719,87242574,102015041,108894579,106317675,114878036,129468534,72940202,79050039,107218348,116382081,117909913,97131400,92888992,74407242,92078170,86287592,95284783,78250676,74003023,84528492,95725793,92474358,114997474,96933615,109845708,85366668,130087486,136605752,127405852,132094678,104204244,74700394,120020598,108862026,91483979,113747095,113664331,82510115,82363371,91490239,111615366,78452382,100249982,129347435,106994766,107616858,96088671,81085031,101728335,113722524,134808825,108387891,114891513,117049093,97355578,115438771
74.0234__39.6,16768574,18693514,11774924,12024256,10108935,15317512,12751806,15924277,13418694,16396092,15297708,14815257,12075370,17650230,15458703,15702918,13942321,14388935,15612469,14306539,17102075,15878264,22062950,16298011,17705823,22686035,21473029,19416684,15541550,21733207,22750119,15668933,14467701,15832670,15672007,15708613,16165579,16592644,17267958,12267441,15191121,22562163,17922702,16422700,22788769,15567684,17042452,15178854,18582324,24665118,22872300,16440343,16461117,21017917,22480081,21668357,22133406,23628878,19270388,14831807,19986072,19103344,19879948,20971708,14829615,16293610,15388599,19469851,16628383,16666897,13255103,14433251,14461200,14547572,16254572,22931665,22138118,14055985,25000540,19364933,14900730,13120526,15580415,17396704,10854821,16449543,22608985,11605547,12871373,17651345,19170956,21833718,19560671,20211422
160.9146__39.33,9352775,9446668,10284619,10696972,13816682,10405229,11147005,10433795,10034069,11189267,10577921,10508576,10887416,9571302,12132122,10795688,10992817,10963674,11347620,10582951,9749963,11015618,10723439,10558011,10804081,8205051,9143311,9453401,9724274,10403793,8709807,10904566,10977226,10134357,10312004,11973119,8991073,8877536,10167582,11551615,10966322,10051443,9686099,9892769,11625093,8635489,9951955,8588701,10396154,11309848,9881600,10407625,10840618,8758096,9381737,10569068,11179500,9623587,9358293,11214692,10201879,9792133,9870890,10221140,11941656,9497307,9447668,10437165,9876270,9336857,10888212,10592773,9994144,11133582,9366641,10997749,9786004,10013216,11145268,12249087,9862663,10778099,9861622,9800014,12332294,9884523,10114360,11759926,10732397,11353295,10170758,8986422,10221634,10378372
185.0217__41.5,4440243,2691717,3902244,2064998,6505926,2202408,4589947,4825203,3482784,4365299,9608008,1515653,4978776,5710436,303130.6,4553502,4150734,1733584,2267288,1768603,303130.6,2560516,4617922,5759275,6089265,2922794,4502482,4029698,3514681,3799700,3163062,5646550,5033327,4505848,3997843,5258065,4716059,3173052,7130007,6819498,3774641,5535382,3321712,303130.6,3623846,4759271,3648989,4051073,4516227,2620342,3398785,5196133,4933150,3201409,4662091,4889149,4738940,6795510,5158976,2475436,4271887,4947491,4004633,2761215,5067451,4551403,1579416,2485783,4130888,4553765,3346309,4387028,8636042,4671915,3878756,5322711,4865082,5057603,6737993,9063255,6117255,303130.6,1701710,2746924,5780536,4968750,6215960,9279708,5423749,4940726,4104913,1672466,5004676,3613137
102.9555__39.33,100936166,99072509,107963512,106649213,122194420,106119684,115944968,105482720,105522906,101882389,117594422,107766900,109776506,99745908,115603480,106464459,104874429,110779475,107259299,106295059,103780508,112730583,107357304,111832811,116674050,91108679,96734965,105477083,104019561,100804710,88477305,114589164,118371297,108622687,98267394,112816269,97259130,95708312,103780716,120059345,113906173,104651713,104697376,101969958,111910259,106674726,97671236,97370319,98596740,108872874,102014604,111745801,111555493,99128463,102326753,99215229,105948015,99414243,101447780,108076940,96782337,98726773,98139611,105412118,116027446,97046300,97945038,105489154,97862115,105928305,106522431,105313006,109705609,114996665,100026358,120637393,105906625,114493497,105584484,129525064,113471391,104153818,98064188,102605655,120084820,106339585,108972252,117269808,102246716,109028960,103348152,95896546,103653973,100288202
185.0302__143.29,9272430,16369204,3068980,4227197,4636923,4548734,11834952,14698514,4684292,3080076,8936966,10607242,2693412,5112289,3475787,2861220,7832637,2918204,10851796,6517283,5281465,4474579,9809549,2428899,2605390,5537823,5491916,2675819,10390025,7159649,4861370,4429525,5464605,9717323,6435376,6839028,6303620,13177697,5635877,4867651,3064557,12139459,2462305,4389395,7551547,7833780,3498955,7867998,10674414,4779800,4216313,4462682,8972703,11196177,8461101,8821043,5634051,3501992,4780131,3767433,8559439,4463136,4563856,7499833,10831559,10323552,3886574,3065122,7842960,11778430,3324642,4258106,5002576,4890225,5867294,6577200,4203290,6010907,10235965,10957147,2843868,6279195,2714661,3298129,7313947,17649935,7742966,3391544,3411503,3426197,3220527,4038066,2616236,6748238
185.0425__142.76,54186694,85408541,16387764,24792775,20956532,27016450,69658689,85580881,27458083,18221031,53338776,64428709,15127968,31147655,20687382,17857794,49685531,20157336,63630101,42353951,32735644,30656869,47811817,16552428,17295153,29655720,35219964,18071509,63143918,44704841,32607689,26429928,32935776,46523122,36746820,36644652,32790870,78387773,30520874,30331856,19172026,71635193,14949200,24730634,41773499,50019159,23033416,50747205,63272293,27984647,27337620,30756741,55338399,70163325,57433681,58468520,37940253,22015391,32244414,23611466,51916155,30247192,27920470,47255215,57327533,56884480,23748722,19690078,50315490,71838899,19907112,25863870,29768983,26457547,38958707,39729336,27782984,38895591,64603586,66485209,16956851,35634655,16422195,20844936,42619007,104600418,41539409,21075865,21444346,21585697,21208195,27107833,14065858,40509617
160.9752__35.32,24751960,25164016,23800003,21181024,20920007,21519904,22693513,25595867,23525291,24499251,25371146,21799108,24313054,24189173,23321297,23027361,22370738,23986728,20104997,21999368,23840559,22502991,21512926,25128978,23758321,26141581,24446314,24445867,23544081,22209499,25603925,24508615,23912649,24607952,23291783,24830757,24870046,23735911,24528902,22592071,20144523,23617237,21737324,23127748,23786158,25173245,25062055,22784681,21749199,25099134,23177700,25282533,22973540,25256352,25953518,21925167,24341656,25700017,23721005,21925478,24272682,24269572,20776291,23572489,24879060,24186064,22987271,23323802,23673068,24285571,22132134,23582209,25279635,23044983,24488031,21617625,23206893,23800308,23749916,26131796,24549924,21473534,22343252,22627189,23817593,24787958,24828879,25743970,23764093,24148236,23020082,22748237,24995475,22421380
132.8853__37.46,9532936,8424533,8685987,7392400,5868135,7316550,8300409,10325467,8819962,9925259,7485772,8612075,9628517,11391688,8940460,8502659,9835386,8629254,8129287,8467598,11180779,7081701,5754871,8377789,5764762,10157380,9856620,8339303,8400624,8635064,11394714,7421046,7808133,7428383,8087750,10799343,10757042,8771233,8614127,7600597,5624446,7112705,6683243,10344810,10475874,7952908,9163212,8946615,7570723,11941654,6817038,7899383,8101892,9008105,9901155,7583087,9879404,9675905,8669536,7350677,11988893,10448652,7631284,9529588,8581661,9636197,7640765,10152311,8751266,7124781,8267527,9650108,8878425,7273382,11491512,5137047,8078837,8612424,8504005,8696895,8603866,9382569,9116727,9186771,7597936,6779809,8914946,8965523,8841816,9698421,9391077,9777279,10828923,11048818
161.0055__43.37,4642748,3626313,4091334,4658351,2855401,3504864,4769474,4630530,3373352,4402661,3635410,4685916,2967349,5003053,2061837,2361892,3334239,4226499,2960093,3950841,3686382,2621298,3192616,3065335,2281033,3330136,3177589,2461259,4279135,4483129,5318305,3505392,2542222,3573203,4016745,2775586,4573848,5239487,4075301,3560243,3527002,4386736,6120097,4724536,4267177,3128828,3395395,3372182,2864387,3432106,2452579,2311440,2970106,3212603,4517408,3999189,4672131,3341855,3740606,2335966,3505607,3971311,4108393,4438542,2749849,3971546,3850411,6194682,4272912,5083667,4202604,4426367,3248515,4360738,3640388,3601030,4666343,2876622,3689259,2699317,2486736,2914470,3855810,3604773,2131532,2685009,3170392,2617740,2778409,4046281,3814989,4323196,3591768,4807048
102.9874__35.32,2886253,3052003,1076885,1914045,1531851,3432696,1606780,1709810,1302712,1979970,2817358,1877965,5821503,3560341,1936404,3261403,3040091,3668583,1189242,1331548,1069677,1678481,1182080,2326459,3076815,2003354,1539524,1698089,4907951,1390021,1099270,422723,407951,418380,400150,462986,420115,478054,470299,492556,495639,483845,370976,440045,454788,437378,386084,375688,365665,422386,392917,499956,412846,470808,447904,73323,435862,458655,528390,500271,500805,462051,320847,412774,1008091,800592,920043,509535,575727,562099,656265,637517,696915,784497,994454,596540,683353,835838,483084,652721,988755,1073627,796150,543830,906445,494965,852598,825539,834038,621783,572155,589978,637895,669863
205.0979__152.95,4394918,4437837,5423636,4664553,5027338,5126040,5914226,5636651,4417342,6387675,9762428,5884369,5389377,5723364,5135278,6547832,5710478,5136543,4707583,5857110,7252167,5065995,4623737,8487183,7382620,7672014,6606316,6407574,5920008,7498794,7666192,5637728,6463998,5109530,3763864,4912598,4189279,3850560,6471868,5637845,4199300,4672706,4940000,7201030,5897505,4622785,4743047,6382103,5698197,6560644,6784144,8518518,6085954,5463080,6094641,6223422,7312055,8129415,7789326,7866717,9405877,6569395,7193324,11617368,6201888,3722351,3561082,4799324,4386089,5251840,4344917,5045810,6391293,5610158,5623065,4787318,4737871,6586141,4470557,8745243,6170645,4440749,4842210,7526970,8337972,4501344,7238944,5896232,6479204,5259708,7764918,6061031,8068714,6878707
185.1177__256.24,23520414,23711591,9273532,16989086,24710520,12899884,13842860,8160734,9969037,42476409,39238465,14473673,13363798,9959091,15483135,12971118,17893621,16934468,45136868,25877685,10725787,37046964,19447717,13166255,9720060,15915045,23322521,22046066,31967953,17752501,42185393,43164672,71142513,11742295,144045790,27321007,10898244,18519965,15180210,17441086,22144667,18777199,17880907,8128966,46987874,53247473,72659694,20998189,20042556,21942297,13978481,37080598,15237717,33975058,26478585,69391491,22282430,20079957,16717918,32767420,22549200,19023419,19598726,29021290,14547973,23135977,13154537,17875075,13304403,62334975,22947391,16448071,16477061,13327769,18244043,19300779,6398770,72965726,21793498,24535141,15182949,18567917,50532492,9719937,25407879,20925863,10226788,11037124,19654318,50027126,23061355,24779400,7983225,46542397
185.1654__156.73,1240856,1928006,1515718,1711570,1337791,1625442,2682473,1919419,1417016,2395391,3092430,2347236,2431367,2985010,1588336,1824151,247339.2,2356150,1388154,1633253,4411192,2001662,3348692,3664578,3406839,3170132,2784985,2630137,1560503,2693155,2398839,2264193,3043080,3235596,1236696,3378456,1994064,3111609,3652724,1896086,1767963,2570227,2784833,1486822,2703089,1947143,2467175,1427741,2406017,4130036,3718458,4666919,2510680,3349875,3440013,2795172,3153147,3134584,2214097,2150136,1725115,1840554,3063976,3953722,2374452,1450878,2859360,2505269,2013588,1983591,1966454,1319551,1946371,1717835,2234031,3200055,2697730,2213640,3072488,5696334,1995426,1352421,1360052,2570331,2014738,1439987,3602732,2177425,1724868,1960083,2606584,2817341,2979824,2383356
206.0013__40.4,2506852,2648571,915692,1547411,1344264,2831520,1361559,1429602,1074321,1684617,2459826,1533500,4989200,2933494,1723321,2866115,2511517,3197887,984719,1040835,914696,1591724,951082,2057694,2677848,1741524,1255975,1512227,4152032,1121124,838990,278589,270350,372894,225231,276616,388503,352829,373187,425064,320107,401627,380537,330198,345495,525167,344985,378353,394024,169260,288453,263497,250021,328298,436650,101824,449771,447351,373297,357864,364718,411509,387545,338544,1049140,732359,761143,349850,354669,533126,575269,500204,647508,669799,767817,330980,540065,800831,407010,697679,989351,808595,568584,337591,922382,491000,677631,893400,758188,491772,446321,312038,492955,569427
133.0131__43.64,1136868921,934245427,802647143,882275057,559453505,664334582,729761067,895726932,747810254,777250590,1000252382,862270138,670011458,947466787,629129851,555946747,914204221,1234904020,994912718,1018886325,934722235,987854849,1044422089,1308568011,909971552,1293640668,993719999,942658292,1229508252,1087138092,1253703630,839109986,642845968,1001388266,1217014949,894036998,719488101,1138413186,877492097,721902272,810247079,1155048551,1199749253,1013097835,1463608265,968246191,1036101238,882670157,786773608,1515213658,1187101720,809313610,1006873740,1068461439,1742630493,1288168777,1222868731,1247381576,970860744,867222623,936568230,1094351492,1501107068,1260158234,683644850,952271417,744263905,1418865957,914093997,1207581885,773876142,725293278,853586626,851188362,1319100052,1588018201,1324254982,1190870211,1025028818,957691765,865331377,808425695,770922502,1020458273,705415762,1224808622,970581857,924874637,714450596,1234969856,937082135,1018207058,1023809829,1575416547
206.0819__187.22,4727029,7283184,5061631,4959761,7141724,7829134,7504563,6238675,4752959,6125352,7629578,6123974,5418607,6275916,7406463,6477704,7405469,6276717,6688854,5967682,7299504,7252293,6364194,7093947,6726164,8552223,7865310,6165964,5975360,9601623,7667487,5376830,5946399,5181883,5600895,4641167,5699056,5518776,7895779,6484028,6042154,6077330,6722044,7353741,10573070,4727714,5176578,7235642,7067176,10917084,6076844,6473872,7538661,5847056,9563024,6002451,6204270,6608627,7167231,7340557,8270755,6433600,7173869,9547000,5695228,5655658,4521639,8570305,7983056,6945102,6758548,5184853,6711405,5748367,6325899,11903760,6753340,6361551,5770209,11056426,4996719,7104645,6687154,7511771,6521450,7399980,6985971,5641129,6969094,7262833,7748493,7649523,7569311,8031371
185.9934__45.24,36199045,37982137,17546556,25110029,22278981,40562201,23169667,25430705,20813262,27205901,34991732,26123366,63085107,43698565,27322661,40129134,38506385,42676073,20322544,20993374,19243088,23300801,20204032,30379824,37145422,27797205,24012321,24871019,54704974,22103101,20082891,3676998,3849854,3570722,5357729,5649581,5048719,12582230,13910714,13735287,12938656,13295794,6769303,13786831,15286808,11814149,13160648,4042198,5925274,15531354,5129791,4257060,4080223,4662268,5743237,10097271,5237689,5435930,13590303,13619750,15157724,6605244,6141838,12515738,17480701,16585409,17401509,14422418,13642732,13977038,13744632,15375935,15378993,16015559,19439833,15408138,15122968,15911335,14107942,15917779,17625658,20811562,15992406,14544747,16777324,13665472,17676177,16118563,17145662,14908680,14805678,16236259,15149271,15633233
186.0379__39.87,13208294,15577840,7959581,7815544,7831371,11947518,12091866,10648687,9581005,13213808,17648086,12545405,10678778,14880771,13731822,13076711,10559382,13053334,11011121,8928881,12449623,12630296,15122854,16629265,21025728,15624051,13488185,16296502,13557740,14565431,9859344,15112213,12629171,15174180,10958852,12580027,11487789,10374007,13229362,12635801,13321525,19626465,14499241,11253991,13984614,15884729,11028288,10466836,11828102,14905974,19614510,16357245,14240401,15631334,21391048,12783807,18023297,18546250,14290744,10966765,12337872,13222103,10162895,15460842,12405995,11379983,10581826,14634354,10696804,14789329,8826613,11650825,13092984,13549717,10094419,18010212,20746862,14257534,18735294,17569443,13818123,8895268,9977269,11573903,10228933,15063709,20805361,12230609,10791465,12756970,14346518,12659549,14394264,13266921
161.0447__40.4,47393101,48537895,42461619,43976468,54400167,46683362,32279795,35957241,52615580,45540816,30254266,37655245,36009053,37420033,54924248,48544606,59895000,50664351,72082190,55424125,54862861,36060776,47967891,33184482,17861422,54289411,58700914,40895052,37145763,44833467,50136691,36662412,55706041,33998554,53713951,57683947,39051348,45693131,56711598,42386203,54995980,38190292,44601858,48169448,73283792,25560122,71196051,40189954,61942119,77548182,37597923,31401793,35062385,40277929,18835435,56026843,30264188,40183072,42212944,57396115,56589100,74659022,92105822,65177654,63701660,46438282,31773413,45272351,40320611,31537414,39401366,41759694,51206341,37646320,81485478,47046146,32877685,27568628,35972764,44994357,41922348,47834558,55898893,67857243,35410767,31626366,26767346,26253341,42693641,38340827,46103603,58646378,35917239,61435309
