samples,Sample008,Sample009,Sample012,Sample014,Sample015,Sample016,Sample019,Sample030,Sample031,Sample032,Sample033,Sample034,Sample036,Sample037,Sample042,Sample043,Sample044,Sample045,Sample053,Sample054,Sample056,Sample063,Sample066,Sample068,Sample069,Sample074,Sample075,Sample081,Sample083,Sample093,Sample098,Sample001,Sample002,Sample003,Sample006,Sample007,Sample018,Sample020,Sample021,Sample022,Sample024,Sample025,Sample028,Sample057,Sample058,Sample064,Sample073,Sample076,Sample078,Sample079,Sample082,Sample084,Sample085,Sample086,Sample087,Sample088,Sample089,Sample091,Sample092,Sample094,Sample096,Sample097,Sample099,Sample100,Sample004,Sample005,Sample010,Sample013,Sample017,Sample026,Sample029,Sample035,Sample038,Sample039,Sample041,Sample046,Sample047,Sample048,Sample049,Sample050,Sample051,Sample055,Sample059,Sample060,Sample061,Sample062,Sample065,Sample067,Sample071,Sample072,Sample077,Sample080,Sample090,Sample095
546.8805__38.8,6913124,7009932,10705160,9756740,14371506,6800328,9597625,9221178,6666855,9190932,7608059,8018731,9673938,6710221,8351165,8887179,9485421,6697352,12036299,6518516,9772432,9072423,10452881,6316567,4973348,2562713,7466310,7844953,4718359,11435147,5248132,7847735,9713946,8452457,9247547,10124995,6501370,6853732,6831089,8454719,10231783,7476486,6804998,7903666,7083862,6055743,6948247,6573424,512542.6,8259420,7457311,3409087,6669434,6919810,6721796,10435901,7872250,7326710,5891028,8346981,8518628,5989207,9864287,7816154,7059229,5035481,8157887,10480312,8981643,5631064,10263462,7482650,6434520,8101781,6915451,10682579,6123978,5028099,9268513,7156219,7817890,7863774,8793916,5658036,9636704,5251952,6748034,6503192,8848527,10918471,5076630,512542.6,7769806,9822590
447.1348__232.64,3130343,3225349,1264054,2056567,1564981,3472853,1641528,1855217,1383777,2170514,2832535,1831658,6063298,3789632,1978412,3299429,3093736,3599607,1140430,1320765,1125057,1637978,1230442,2445138,3100262,2125944,1546708,1510629,4563558,1486130,1018669,315909,255822,334204,214711,308794,543832,390913,531754,525556,566482,521354,437998,406719,207398,557484,359482,355098,403082,334942,520156,479677,491952,606484,537958,115209,623091,668725,397743,324623,436288,482759,442843,426923,1099983,1007650,1005037,533021,618557,507565,613010,832930,916464,925608,1193489,328910,723354,800838,459010,331136,1073910,1078638,709874,636973,779076,451146,883300,818117,892880,604163,566718,1083901,738091,605699
447.1348__239.59,136127971,117804542,124300555,107238184,124730483,128808213,146187143,111435024,130025720,106186576,133684551,131591180,115787107,116513639,125456441,122174152,119124081,132953339,121893397,132294531,136037073,115050902,136396065,115877967,121647383,125614829,122775542,166496231,182515497,129625374,159897922,138030763,114258836,115854089,118932069,102020019,123573516,123870327,124880147,108243208,116278615,128516152,157910225,137988207,206736314,120572852,132608009,114186520,114535958,155859927,121408435,148888204,174415101,163364485,149584624,151097909,155655605,169708015,145585380,176096409,153909915,129373939,150689547,146964551,141884169,106370153,109402272,134432367,112792134,132823408,118817926,106296374,117597307,108130170,105205010,179645934,132646244,136414935,124335555,204126104,126421406,135564364,135068288,114777475,163715028,123251822,155553081,124361999,121780782,135860678,116555729,20404003.8,152229574,161352757
569.3795__177.05,1461601,74572,74572,74572,1077340,1436355,2341281,2054315,486851,1745271,562428,2980550,894590,1444361,1406197,1597286,1607509,972997,2025552,1990256,1846569,4055590,1244066,750885,1699431,599421,2235495,3669198,2072776,1445854,1070401,1180996,1047328,372860,1290418,1802178,3135907,2103115,1408031,2050872,74572,661167,74572,1467291,74572,1161715,1202076,3302443,2155212,3117591,74572,921697,811271,1491364,715123,530699,1037008,2043308,2426135,1273980,1834132,699761,74572,1307525,753125,778204,1133146,1265451,1557127,824758,1606805,1295543,74572,74572,1231585,1741769,1493149,1055304,1113263,1832767,908793,2328427,2377546,1290232,3858995,1032257,1374814,1839337,1658064,2982404,1993453,2558812,3303779,468413
506.5735__38.8,4649135,4855043,3675580,2515746,2125447,4232234,4407432,3511921,4752494,3931969,3551545,4812802,3672702,5606743,3095653,4636407,420142.4,3355599,4343198,3178057,4079010,2906053,3351171,4771777,3690473,7475096,4953920,3994095,4012045,2100712,420142.4,3188780,4145607,2654321,4171937,5342990,5249402,4260044,3685425,4054548,2304955,4030703,4234136,5462285,3332251,3650611,4750999,3425174,3828351,5429005,4218892,5927208,2802245,3529595,5430736,2767688,2207240,4660383,420142.4,2530385,4813559,5113403,4018855,420142.4,2965657,3653676,3154530,3151940,4652338,3882934,2211686,3280169,4256546,3908786,4460679,3190427,3601912,4580366,420142.4,4859581,4925333,2717876,3266997,4361140,3839913,4007162,420142.4,5682786,420142.4,3591637,5824279,6192295,4026000,4193145
526.2137__178.93,2099854,2331252,915077,1447685,1005872,2266953,1126320,995742,972819,1203738,2039730,1193719,4132479,2548692,1177687,1933047,2055357,2338772,476383,754811,883202,1248662,953189,1784486,2342586,1483541,1051090,1280273,2851891,978374,694653,72792,772518,244409,428321,169882,285475,423265,16979,229281,608577,199502,57061,181060,183852,480228,468149,160241,377048,178365,111715,52306,146101,182602,50658,313432,373402,58250,441662,88322,597675,463255,573526,199321,877837,600445,755515,552471,563574,502204,178060,531921,535792,158080,447027,240537,306956,714128,415284,498475,741941,1034242,647490,368392,799485,432238,939139,507616,468591,572743,457784,518075,614167,556477
465.3589__986.89,5832622,21007180,7147875,3937260,8593743,13861797,6466995,11525057,5084508,17530477,5625052,25176917,10669923,16434849,5498917,5506891,19103382,9599851,17022815,13159698,17268426,16246702,8451744,10235820,30175015,4964945,12098861,11138464,22336048,6453803,7424928,11295400,17947072,9105712,9367378,7159531,7336772,3636156,9552022,11788419,10010725,13917519,12261477,18080757,12949272,10519634,10569215,9867089,9065944,3602684,11361480,9302498,9047274,6831739,7231215,9600841,2241011,5915993,12829032,6099412,4506334,13750519,14448590,10206942,15515482,12506297,9620691,8722943,8009813,10668054,15161942,7715600,3586958,13274798,5875331,20844462,7407977,9941829,9718386,18150972,6495753,5487343,15800927,11106073,9266989,5854155,5512614,11394166,11016988,8973123,5722736,11229683,8104846,6637751
569.4705__983.68,2330525,4898326,3010193,1412343,3632314,3075855,2237314,2473708,1121590,4734888,1920633,3961691,1528798,4286604,1125834,1482092,4219039,2000040,2343713,3471910,3275656,10109822,1855637,2715847,4824278,111802,3857648,2486044,4868928,1673122,1740409,3135900,2243160,3567454,2451288,1401239,1054043,1344858,3496509,4115307,2760038,1722600,2944684,5872420,1162982,5733094,995541,1883765,5747164,1435389,2041993,1190979,559010,2323851,2123408,2790772,1321930,1237256,1558310,2978886,1242678,2848981,2677531,1827150,4093021,2998127,1913992,1791730,868942,1154646,2642100,1036298,4213299,2392611,1348518,8056160,1279807,5788406,5128987,2771596,874252,1373935,4265752,3145572,1040409,1119552,926604,2204997,2040851,1426119,808643,1557515,2614200,2029554
569.4799__986.89,26848229,24067535,18315669,22422798,42720150,34729084,16567096,23778115,10138943,25917835,25030694,21910724,13877753,33986494,13167763,20685116,23836218,19858061,20918264,33046627,49445951,120228659,13359800,33950184,51809757,11337846,26482279,33520331,63581018,9258286,15344196,18740217,22629943,34723328,17490322,6807898,22384823,4334477,36383956,40048012,32845160,17318715,23182661,58786893,14488109,47054118,12237361,23331473,58900810,8708586,28253103,12003670,9541737,37762592,19059892,13806185,11928520,18917838,22853521,32893835,8015854,13843668,24178836,11141791,47463864,28479997,17563809,19585725,13785347,4233578,37914353,19779781,33738789,27400988,11944172,70499901,18879556,60957048,70843861,16848665,6554789,12853679,38939165,48422403,16390319,7744214,9868085,24976995,24251305,9264663,21093908,16535168,25720683,22209154
426.9515__39.33,8446343,9158930,7138985,6007917,4030968,9646598,7819886,8498110,9241880,6191485,6810746,7515624,7710575,8862996,7427713,5789163,7854329,7167336,6324405,9665764,9706419,7281928,6357230,8590060,8786519,9334308,8769731,10352953,9562428,6540510,9852403,7568565,6285252,7510893,6506489,7193736,7719651,10063078,7545232,8352318,7254744,6065688,7011376,9762856,9647155,9859172,9499187,10086066,7248004,9118047,6250186,8365776,7416571,11183911,7091847,7638436,6368406,7574448,7181355,8812366,8803948,10095077,8319766,9250952,5841955,8616481,6696161,7131155,6892901,8534580,6975761,5444843,7225648,8139728,10221358,8592464,7277973,9299309,7394411,9341313,8959610,8435031,6777792,9482844,7014009,9155012,8403926,5311972,8346495,6954341,9386653,10073575,8450732,8229326
