name,092816_RPLC_POS_0uM 1_08,092816_RPLC_POS_0uM 2_22,092816_RPLC_POS_0uM 3_24,092816_RPLC_POS_10uM 1_10,092816_RPLC_POS_10uM 2_20,092816_RPLC_POS_10uM 3_26,092816_RPLC_POS_200uM 1_14,092816_RPLC_POS_200uM 2_16,092816_RPLC_POS_200uM 3_30,092816_RPLC_POS_50uM 1_12,092816_RPLC_POS_50uM 2_18,092816_RPLC_POS_50uM 3_28
M408T905,2168.179129,848.899867,877.7478015,1271.370639,547.8549029,1469.388032,1456.636172,520.4603107,1314.871415,1213.338374,1976.674916,1598.738147
M349T1702,274090.1314,197596.0265,141198.9033,315499.1651,210272.9389,157185.2449,309916.2435,302068.5231,150463.1483,276117.7634,230600.2464,204378.3717
M582T688,172173.0036,104423.1681,100798.3414,150464.5934,110260.3359,81079.60752,143211.7433,130226.4004,82753.64797,148791.9654,114846.2429,86405.63148
M557T758_2,1349405.226,991428.5699,724376.8935,2333752.628,938628.9314,497861.0261,597032.6019,810777.8418,464671.69,803329.6072,796055.2099,294113.7144
M476T884,7244.102477,9755.260456,8773.352013,9621.150221,7535.671134,7435.047443,11741.34774,11758.94491,10056.23309,6085.398991,8781.000577,7121.737087
M127T1500,7697.788001,3695.990756,6646.672585,8043.642933,5557.489843,6098.753128,7557.856201,13311.78214,5224.492928,5800.200897,6828.279,6374.670093
M663T1920,18233.11203,6119.452186,2149.858732,14843.42661,14350.94645,4234.962402,6438.094421,5729.603139,2141.743069,14324.78307,19681.22924,6015.788926
M219T1256,41677.18494,50651.51886,32083.27229,35503.61559,24607.19681,52827.5343,53537.47462,65401.5741,35747.18676,47252.84274,29233.44688,45243.38838
M343T44,3896.175647,1367.34458,520.3649532,2260.833123,1112.00428,1107.262313,1621.400658,1270.793072,1384.87152,614.0854356,6542.295559,2274.725524
M833T763,9682.610899,12898.30032,6075.749176,15815.61033,9955.945472,6733.246929,5668.797419,7338.431158,12012.1103,5366.287353,6195.734091,7306.702758
M367T1737,87512.15434,29801.90775,62783.54772,59825.22939,77018.80548,64459.00172,70434.11163,92723.66631,74992.96899,83248.91113,79958.51778,53642.11894
