"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"107.0501" "23.76" "0.873431811145774" "0.252215508798151" "0.59284" "0.0684498740819166" "0.79137628566711" "-0.475150638566093" "0.612050386729926" "negative"
"107.1846" "23.47" "0.867834258464743" "0.26795936305817" "0.56469" "0.0727226678002634" "1.6154594830021" "-0.47089620335462" "0.616341538955147" "negative"
"108.0437" "30.32" "0.101935429718655" "2.13159245211314" "3.7793" "0.578502232619956" "1.40814408301555" "0.0249496813324673" "1.13205478390745" "negative"
"108.0527" "23.68" "0.64325635570375" "-0.68762762568233" "0.058984" "-0.186618279809556" "0.50574833837256" "-0.731135380436471" "0.35789882081736" "negative"
"109.0432" "23.2" "0.0048062425003779" "-3.66051333700885" "-2.5914" "-0.99344278306834" "0.837343208223299" "-1.56615878244912" "-0.420726783687558" "negative"
"109.9414" "612.16" "0.252607276157764" "1.54711213960669" "0.30337" "0.419877554918457" "0.215658425114725" "-0.128921218476376" "0.968676328313291" "negative"
"109.9415" "29.94" "0.204873105746362" "-1.69303691078773" "-0.06722" "-0.459480719134537" "0.515758312626548" "-1.00932838307641" "0.0903669448073326" "negative"
"114.0554" "286.71" "0.0231177909945078" "-2.9174379075383" "-0.39363" "-0.791776280389744" "0.145595548921393" "-1.35399573160208" "-0.229556829177406" "negative"
"115.0394" "78.64" "0.0110952980452924" "3.26772319683205" "0.57151" "0.886841742696799" "0.188197064680956" "0.319945708288323" "1.45373777710528" "negative"
"116.0712" "279.38" "0.765965812391044" "0.453024379558355" "0.013487" "0.122948275007247" "0.493027372057145" "-0.420969615963251" "0.666866165977745" "negative"
"117.0551" "148.28" "0.233124254047678" "1.60978098457469" "0.78758" "0.436885527851446" "0.320386662829651" "-0.112352371226185" "0.986123426929077" "negative"
"118.0295" "30.3" "0.00626158896870332" "3.53203649604887" "3.8275" "0.958574889226048" "0.837156204628562" "0.387828498562942" "1.52932127988915" "negative"
"119.0165" "605.53" "0.241019267696802" "1.58147072626082" "0.25056" "0.429202282574242" "0.175398428031414" "-0.119835128779428" "0.978239693927912" "negative"
"119.0498" "26.21" "0.00180019949346403" "-4.06455627685197" "-1.8909" "-1.10309777013768" "0.587266843362553" "-1.68241702753393" "-0.523778512741431" "negative"
"119.9754" "32.6" "0.845218141447924" "-0.319656033591126" "-0.020804" "-0.0867528541488243" "0.338436887644997" "-0.630439817624314" "0.456934109326665" "negative"
"121.999" "139.99" "0.666102699135128" "0.64315898365542" "0.11602" "0.174549739846092" "0.126852628327135" "-0.369834905978558" "0.718934385670743" "negative"
"123.0447" "22.75" "0.0441298142129936" "-2.59720771209348" "-0.67106" "-0.704867601935052" "0.614949571740998" "-1.26324623160612" "-0.146488972263985" "negative"
"124.0069" "274.56" "0.00898600494395144" "3.36438703538141" "0.43933" "0.913075766165488" "0.153415258473472" "0.344803316235902" "1.48134821609507" "negative"
"124.1201" "274.53" "0.780382358472328" "-0.431182104026861" "0.13802" "-0.117020403969825" "0.525218732279742" "-0.660895023671955" "0.426854215732306" "negative"
"124.9907" "32.7" "0.00194650123999238" "-4.02583878099816" "-2.3887" "-1.09259005897991" "0.553205424761179" "-1.67125003572268" "-0.513930082237145" "negative"
"124.9908" "148.8" "0.0974950941350863" "2.1577665505925" "1.3091" "0.58560573610258" "0.331285440087306" "0.0318060849727269" "1.13940538723243" "negative"
"124.99081" "159.83" "0.46418093163428" "1.02313334735117" "0.5445" "0.277672650381088" "0.2905868549834" "-0.268127461631728" "0.823472762393905" "negative"
"125.024" "22.75" "0.000352043987959557" "-4.69980589442747" "-2.6612" "-1.27550095240364" "0.875227922102447" "-1.86641562106915" "-0.684586283738122" "negative"
"126.0035" "274.56" "0.00800778768043711" "3.41471514066113" "0.44514" "0.926734531582389" "0.153104868282716" "0.357730924088101" "1.49573813907668" "negative"
"126.9045" "26.18" "0.13729432471708" "1.95901822209275" "2.4739" "0.531666554786467" "0.466628462637762" "-0.0203297432623952" "1.08366285283533" "negative"
"127.0007" "310.88" "0.0903787465182289" "2.20602677602313" "0.20873" "0.598703290529877" "0.104290544260738" "0.0444404235951236" "1.15296615746463" "negative"
"127.0506" "352.33" "0.107348357978396" "-2.10378811187538" "-0.31957" "-0.570956290670254" "0.187391178273596" "-1.12424953627959" "-0.0176630450609171" "negative"
"127.9474" "123.42" "0.570135484510701" "0.823125500601808" "0.9441" "0.223391642878312" "0.539611988133629" "-0.321583384486683" "0.768366670243308" "negative"
"128.0345" "384.86" "3.49134484876368e-07" "7.11570369515591" "1.031" "1.9311620615981" "0.161122901456409" "1.28405260691816" "2.57827151627804" "negative"
"128.0349" "352.33" "0.0974950941350863" "-2.15801666338106" "-0.58733" "-0.585673615310187" "0.459777613320694" "-1.139475641672" "-0.0318715889483729" "negative"
"128.0706" "285.11" "0.939817136691918" "-0.128668920160271" "0.14995" "-0.0349200230596261" "0.967383101435533" "-0.578415036212369" "0.508574990093117" "negative"
"128.1498" "285.1" "0.459717840252915" "1.03229409349662" "0.27105" "0.280158825490386" "0.345107113516693" "-0.265683324979847" "0.826000975960619" "negative"
"129.0378" "285.06" "2.54837815393766e-05" "5.65207366584934" "0.53304" "1.533941083055" "0.100092490860252" "0.923035489449619" "2.14484667666038" "negative"
"129.0547" "53.08" "0.689345053581877" "-0.599605948683279" "0.058806" "-0.162729690500458" "0.674366628979166" "-0.706993161053435" "0.38153378005252" "negative"
"129.0555" "66.31" "0.392481459764653" "1.17785199897263" "0.65369" "0.319662424412347" "1.23552437018188" "-0.226897468105421" "0.866222316930116" "negative"
"130.0584" "66.35" "0.461804937258063" "1.02811364764269" "0.20276" "0.279024275939204" "0.192677786147949" "-0.266798644478334" "0.824847196356741" "negative"
"130.0656" "32.58" "0.0166410622853844" "-3.07640962486465" "-0.67704" "-0.834920312592315" "0.359798260045108" "-1.3992012874025" "-0.270639337782128" "negative"
"130.0869" "244.36" "0.295219759189082" "1.42380244974624" "0.14987" "0.386411996895288" "0.117843398330002" "-0.16157270868339" "0.934396702473966" "negative"
"130.08691" "255.27" "0.67504374835648" "0.627315020544337" "0.051349" "0.170249777147208" "0.119329472660485" "-0.374089807158103" "0.714589361452519" "negative"
"131.0707" "126.21" "0.382593192146627" "1.20075621276842" "0.32707" "0.3258784995369" "0.220963783831353" "-0.220802848263802" "0.872559847337601" "negative"
"132.0451" "27.46" "0.695935154406612" "-0.584563200496372" "0.53229" "-0.158647173036935" "0.517291628724857" "-0.702870758390059" "0.385576412316189" "negative"
"133.0655" "23.25" "0.00194650123999238" "-4.02256371912936" "-2.055" "-1.09170122556282" "0.505261692444377" "-1.67030568981654" "-0.513096761309101" "negative"
"134.0246" "30.34" "0.00119632467923168" "4.22667065289697" "2.7214" "1.14709470228522" "1.99666043634162" "0.564954916050462" "1.72923448851998" "negative"
"134.0604" "176.86" "0.0156302656517421" "-3.10912958053265" "-0.42904" "-0.843800324991681" "0.569661602168551" "-1.4085182086914" "-0.279082441291963" "negative"
"135.0293" "294.68" "0.626836462780127" "0.719993705770068" "0.36597" "0.195402252361791" "0.219086325465701" "-0.349216798418583" "0.740021303142164" "negative"
"135.0888" "156" "0.809624875309792" "0.383587010116166" "0.69144" "0.10410336250545" "0.922835716807889" "-0.439684361800805" "0.647891086811705" "negative"
"135.2157" "155.95" "0.847384802834431" "-0.311841380969898" "-1.0884" "-0.0846320012700068" "0.619836285443442" "-0.628307903580509" "0.459043901040495" "negative"
"135.9445" "122.03" "0.782055689589266" "0.428768868672821" "0.041712" "0.116365465433724" "0.208896567112417" "-0.427504504401171" "0.66023543526862" "negative"
"135.94451" "66.64" "0.663831219669798" "0.649203242758332" "0.38472" "0.176190117856486" "0.375213628291895" "-0.368212013490272" "0.720592249203244" "negative"
"135.94452" "90.54" "0.176260790331751" "1.79818022960014" "0.41833" "0.48801602597415" "0.250860919764283" "-0.0626445795632937" "1.03867663151159" "negative"
"135.9446" "45.18" "0.777826040401543" "0.435505232436199" "0.20952" "0.118193676766051" "0.372290128574511" "-0.425689337972022" "0.662076691504124" "negative"
"135.9447" "612.01" "0.252607276157764" "1.54671708322915" "0.26994" "0.419770338833981" "0.19623204358296" "-0.129025720575659" "0.96856639824362" "negative"
"136.0328" "156.03" "0.750514044036671" "-0.487632095495456" "-0.64284" "-0.132340614952738" "0.310427368508545" "-0.676331435827867" "0.411650205922391" "negative"
"137.0238" "33.38" "0.0254270784320411" "-2.86614499108931" "-1.8476" "-0.777855670634389" "0.776040685474101" "-1.33943175130689" "-0.216279589961887" "negative"
"137.02381" "42.95" "0.0154203292920344" "-3.11667286180338" "-1.2317" "-0.84584752920845" "0.816680207096004" "-1.41066674552329" "-0.281028312893613" "negative"
"137.9399" "122.03" "0.681265874551531" "0.614371993926838" "0.06807" "0.166737112337544" "0.212702866467057" "-0.377566492350659" "0.711040717025747" "negative"
"137.94" "612.1" "0.250969522802096" "1.55309076429467" "0.2813" "0.421500120116869" "0.201405752345517" "-0.127339808610179" "0.970340048843917" "negative"
"137.9914" "44.7" "0.860550480834526" "0.28203570060776" "0.58943" "0.0765429068386768" "0.920921275448133" "-0.467093318777038" "0.620179132454391" "negative"
"138.0012" "28.23" "0.787971655712264" "0.417084669307738" "-0.21299" "0.113194439277962" "1.24460169275583" "-0.430653385744369" "0.657042264300292" "negative"
"139.0067" "31.71" "0.256408935842404" "-1.5333240290863" "-0.24425" "-0.416135539078729" "0.252477913977486" "-0.964839992150919" "0.13256891399346" "negative"
"139.0256" "267.29" "0.330734905330728" "1.3270444516371" "0.20343" "0.360152419050337" "0.122669089103221" "-0.187240065648579" "0.907544903749252" "negative"
"141.0165" "310.7" "0.0784167021999615" "2.28614773870296" "0.19599" "0.620447670298153" "0.0947311521511544" "0.0653940493151314" "1.17550129128117" "negative"
"141.1373" "310.64" "0.716433874211349" "-0.552816821289824" "-0.12801" "-0.150031383827144" "0.481908594510254" "-0.694174111958075" "0.394111344303787" "negative"
"143.1071" "52.19" "0.65419977335867" "0.667141093800548" "1.1645" "0.18105834999253" "0.387990280974715" "-0.363396633563111" "0.725513333548171" "negative"
"144.045" "34.5" "0.0547140083761454" "-2.47777793170355" "-0.37722" "-0.672455029574705" "0.182649800309373" "-1.2295093234859" "-0.115400735663514" "negative"
"144.8691" "155.06" "0.444423134878941" "1.06911595708613" "0.14674" "0.290152072686696" "0.185267823032925" "-0.255862798691319" "0.836166944064711" "negative"
"144.86911" "173.11" "0.00400799765453088" "3.73471620240799" "0.53899" "1.01358102443697" "0.177568578244064" "0.439698604648209" "1.58746344422572" "negative"
"145.0615" "352.33" "0.642288124471837" "-0.690087886300296" "-0.32724" "-0.187285980738459" "0.580922761456602" "-0.731810666970518" "0.357238705493599" "negative"
"146.0453" "384.94" "4.45414625713304e-07" "6.97158603260205" "1.1239" "1.89204933652501" "0.186448258443024" "1.24877447855381" "2.53532419449621" "negative"
"146.0641" "352.38" "0.104821666374655" "-2.11752650916566" "-0.32558" "-0.574684814618237" "0.19465336247259" "-1.12810577537879" "-0.0212638538576874" "negative"
"146.8661" "173.12" "0.0047227835206981" "3.66716888521752" "0.54083" "0.995249061512518" "0.181578174169428" "0.422429300707792" "1.56806882231724" "negative"
"146.8662" "155.13" "0.438065032889945" "1.08135845081253" "0.14852" "0.293474616799921" "0.186649880103611" "-0.252599008985369" "0.839548242585211" "negative"
"147.0444" "239.1" "1.17755834909814e-05" "5.89108727906806" "0.51874" "1.59880803674332" "0.101401394373217" "0.982423531815826" "2.21519254167082" "negative"
"148.0397" "34.01" "0.756041877567567" "-0.476700586230064" "1.3334" "-0.129373864667211" "0.595490784064472" "-0.673341070486028" "0.414593341151607" "negative"
"148.0398" "46.18" "0.308161428484413" "1.38549262602002" "0.30132" "0.376014925665783" "0.200241528299524" "-0.171730394290673" "0.923760245622239" "negative"
"148.8631" "155.23" "0.413822473797139" "1.12820733301157" "0.16038" "0.306189140592227" "0.187517982115359" "-0.240115440132824" "0.852493721317278" "negative"
"149.06" "85.46" "0.00580797754581454" "-3.56839767601175" "-1.9229" "-0.968443109470668" "0.846204778254927" "-1.53974047811331" "-0.397145740828022" "negative"
"150.0554" "152.59" "0.172633763835114" "-1.81481727632636" "0.37815" "-0.49253122711674" "1.11395610939437" "-1.04332483875488" "0.0582623845213971" "negative"
"150.0564" "30.3" "0.00124958836217448" "4.21050662941581" "1.9908" "1.14270787699753" "1.22185845520573" "0.560853645922987" "1.72456210807208" "negative"
"150.2167" "30.13" "0.0562257773530923" "2.4628219238374" "3.0174" "0.668396052947596" "2.13476612080179" "0.111503427377842" "1.22528867851735" "negative"
"151.0256" "191.59" "0.132382016001495" "1.98266060712413" "0.58744" "0.538082965442997" "0.264688981142504" "-0.0141190256304117" "1.09028495651641" "negative"
"151.0401" "22.83" "0.122768823383941" "-2.02783871950673" "1.5672" "-0.550344051680648" "0.908294022628023" "-1.10294574402494" "0.00225764066364431" "negative"
"151.0591" "30.3" "0.00239882640273284" "3.93122233119919" "2.5423" "1.0669116853316" "1.95856860551536" "0.489839363843682" "1.64398400681953" "negative"
"153.022" "25.41" "0.0295322252360287" "-2.79214321468045" "-0.9676" "-0.757772003689552" "0.40756112447339" "-1.31843872719565" "-0.197105280183453" "negative"
"154.0254" "140.32" "0.590803187555072" "0.7851035500171" "0.12709" "0.213072698804357" "0.122666379346004" "-0.331765579515214" "0.757910977123929" "negative"
"154.0614" "410.29" "0.338313639591393" "-1.30850020073386" "-0.24849" "-0.355119613394098" "0.214396321136481" "-0.902403283252762" "0.192164056464566" "negative"
"154.9466" "147.43" "0.528096198734866" "0.905969575061143" "0.24588" "0.24587505990606" "0.376921427929913" "-0.299420181424212" "0.791170301236331" "negative"
"154.9468" "605.53" "0.213373305249601" "1.66581917867744" "0.25337" "0.452093979339578" "0.171339759170077" "-0.097551035304224" "1.00173899398338" "negative"
"154.9471" "16.61" "0.249812180547325" "1.55647018213361" "0.35602" "0.422417275158792" "0.221010255502315" "-0.126445985470758" "0.971280535788343" "negative"
"154.94711" "3.92" "0.0414465626164927" "2.63219871203783" "0.32281" "0.714363963009769" "0.14052849458429" "0.155586134873592" "1.27314179114595" "negative"
"155.0016" "45.19" "0.0329706533451145" "2.74001180395742" "2.1742" "0.743623831292431" "0.439337800481041" "0.183584293466149" "1.30366336911871" "negative"
"156.9904" "279.04" "0.0288801735533057" "-2.80281989287425" "-0.63465" "-0.760669594251929" "0.165357133037861" "-1.3214661380078" "-0.19987305049606" "negative"
"157.036" "171.31" "0.449279308963367" "1.05970944464335" "0.47973" "0.287599197983128" "0.264417856203185" "-0.25837097971653" "0.833569375682786" "negative"
"157.1224" "49.42" "0.294889744619929" "1.42483260398092" "0.50015" "0.386691574975101" "0.239208958143106" "-0.161299656379554" "0.934682806329756" "negative"
"158.0609" "32.57" "0.0254270784320411" "-2.86559422543779" "-0.73902" "-0.777706195926529" "0.480743414246699" "-1.33927542626994" "-0.216136965583115" "negative"
"159.0637" "32.57" "0.0257879298427186" "-2.85760855445304" "-0.73681" "-0.775538929623317" "0.472599456555497" "-1.33700897411762" "-0.214068885129013" "negative"
"159.102" "100.28" "0.00657731623533212" "-3.50187244922717" "-1.0678" "-0.95038853614814" "0.37702526363519" "-1.52068173740643" "-0.380095334889851" "negative"
