"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"100.0266" "635.9" "0.270857671181058" "-1.68987348474204" "-0.75169" "-0.458622183053519" "0.659175317894596" "-1.00844612892896" "0.0912017628219214" "negative"
"100.9298" "637.15" "0.826341470850782" "-0.466652368774953" "-0.16457" "-0.126646834823457" "0.332626113006447" "-0.670592805111714" "0.4172991354648" "negative"
"101.9273" "636.52" "0.603020358735935" "-1.04907073062153" "-0.40573" "-0.284711910684037" "0.664607776181195" "-0.830632011700139" "0.261208190332064" "negative"
"102.9743" "635.73" "0.74232537002831" "-0.673508534358218" "-0.17014" "-0.182786437636599" "0.368557488059613" "-0.727260527409493" "0.361687652136296" "negative"
"109.9332" "609.05" "0.712430766687359" "-0.79343945048922" "-0.40751" "-0.215335015425548" "0.301511755022912" "-0.760202723979042" "0.329532693127946" "negative"
"112.9375" "28.1" "0.293825241806102" "1.63954967707593" "0.81112" "0.444964583984842" "0.449995000730408" "-0.104487886803792" "0.994417054773477" "negative"
"112.9535" "634.39" "0.906159735016055" "0.291370868791506" "-3.358e-05" "0.0790764191106056" "0.211251932819602" "-0.464571805248003" "0.622724643469214" "negative"
"114.9364" "636.17" "0.785597647840555" "0.538952760844429" "0.018309" "0.14626875560387" "0.124687299699638" "-0.397840073576813" "0.690377584784553" "negative"
"115.9197" "569.35" "0.763250618534376" "0.604691889997672" "0.19701" "0.164109986439503" "0.516174515425137" "-0.380167197815582" "0.708387170694587" "negative"
"115.91971" "608.14" "0.310328055204214" "1.6069008101624" "0.37276" "0.436103864674608" "0.36586437752386" "-0.113113478401718" "0.985321207750934" "negative"
"115.9199" "635.1" "0.696894358375967" "0.835884514414313" "0.19498" "0.226854367645069" "0.204375333283251" "-0.318167989531227" "0.771876724821364" "negative"
"116.0708" "35.41" "0.909627981109346" "-0.270322299803854" "-0.046286" "-0.0733639555762463" "0.143089861678838" "-0.616985677947238" "0.470257766794745" "negative"
"116.9277" "604.59" "0.707325081032371" "0.807068718475801" "0.026558" "0.219033922292757" "0.125395762852546" "-0.325882571004893" "0.763950415590407" "negative"
"116.9279" "570.44" "0.7313562695144" "-0.728508119768773" "-0.81112" "-0.197713016552581" "1.03266216504855" "-0.742359662567932" "0.346933629462771" "negative"
"116.955" "635.29" "0.478372030494742" "1.27229482545509" "1.119" "0.345293677666635" "0.676686321088853" "-0.201781897612035" "0.892369252945305" "negative"
"117.0377" "604.77" "0.460397084196403" "1.30447891011657" "0.17964" "0.354028257681234" "0.481790399678344" "-0.193232015062412" "0.90128853042488" "negative"
"117.1802" "636.43" "0.726321317680811" "-0.755080304639049" "-0.17195" "-0.204924558448315" "0.497362945377202" "-0.749659401668872" "0.339810284772243" "negative"
"117.9275" "571.44" "0.7313562695144" "0.728339948430315" "0.48253" "0.197667375794816" "0.496087636027354" "-0.346978722049928" "0.742313473639559" "negative"
"117.9276" "604.72" "0.98517460110072" "-0.0277257790798176" "-0.045143" "-0.00752462089218863" "0.268088675770192" "-0.550984235815372" "0.535934994030995" "negative"
"117.9278" "635.53" "0.910195992516394" "-0.26339506589658" "-0.049596" "-0.0714839431577064" "0.117361814307894" "-0.615097377680032" "0.472129491364619" "negative"
"118.9268" "635.75" "0.66861887616091" "0.903201760108789" "0.055444" "0.245123890456277" "0.517471679356717" "-0.300160160267728" "0.790407941180281" "negative"
"121.0285" "521.69" "0.844192598010919" "0.427215890228929" "0.025801" "0.115943995796735" "0.083315570708407" "-0.427922995510162" "0.659810987103631" "negative"
"122.9685" "637.36" "0.934144084234857" "-0.172653080033765" "-0.053343" "-0.0468570772847451" "0.140663458811346" "-0.590381805991023" "0.496667651421533" "negative"
