"gene","edge","net"
"K12343","edg161","ko01100"
"K12344","edg161","ko01100"
"K12345","edg161","ko01100"
"K12343","edg162","ko01100"
"K12344","edg162","ko01100"
"K12345","edg162","ko01100"
"K12343","edg163","ko01100"
"K12344","edg163","ko01100"
"K12345","edg163","ko01100"
"K12343","edg164","ko01100"
"K12344","edg164","ko01100"
"K12345","edg164","ko01100"
"K12343","edg165","ko01100"
"K12344","edg165","ko01100"
"K12345","edg165","ko01100"
"K12343","edg166","ko01100"
"K12344","edg166","ko01100"
"K12345","edg166","ko01100"
"K12343","edg167","ko01100"
"K12344","edg167","ko01100"
"K12345","edg167","ko01100"
"K12343","edg168","ko01100"
"K12344","edg168","ko01100"
"K12345","edg168","ko01100"
"K12343","edg169","ko01100"
"K12344","edg169","ko01100"
"K12345","edg169","ko01100"
"K12343","edg170","ko01100"
"K12344","edg170","ko01100"
"K12345","edg170","ko01100"
"K12343","edg171","ko01100"
"K12344","edg171","ko01100"
"K12345","edg171","ko01100"
"K12343","edg172","ko01100"
"K12344","edg172","ko01100"
"K12345","edg172","ko01100"
"K12343","edg173","ko01100"
"K12344","edg173","ko01100"
"K12345","edg173","ko01100"
"K12343","edg174","ko01100"
"K12344","edg174","ko01100"
"K12345","edg174","ko01100"
"K12343","edg175","ko01100"
"K12344","edg175","ko01100"
"K12345","edg175","ko01100"
"K12343","edg176","ko01100"
"K12344","edg176","ko01100"
"K12345","edg176","ko01100"
"K12343","edg177","ko01100"
"K12344","edg177","ko01100"
"K12345","edg177","ko01100"
"K04119","edg178","ko01100"
"K10207","edg178","ko01100"
"K25779","edg178","ko01100"
"K00037","edg179","ko01100"
"K00089","edg179","ko01100"
"K13369","edg179","ko01100"
"K00037","edg180","ko01100"
"K00089","edg180","ko01100"
"K13369","edg180","ko01100"
"K00512","edg181","ko01100"
"K00512","edg182","ko01100"
"K00512","edg183","ko01100"
"K00512","edg184","ko01100"
"K00512","edg185","ko01100"
"K00512","edg186","ko01100"
"K00512","edg187","ko01100"
"K00512","edg188","ko01100"
"K00512","edg189","ko01100"
"K00512","edg190","ko01100"
"K00512","edg191","ko01100"
"K00512","edg192","ko01100"
"K00512","edg193","ko01100"
"K00512","edg194","ko01100"
"K00512","edg195","ko01100"
"K00512","edg196","ko01100"
"K00512","edg197","ko01100"
"K00512","edg198","ko01100"
"K00512","edg199","ko01100"
"K00512","edg200","ko01100"
"K00512","edg201","ko01100"
"K00512","edg202","ko01100"
"K00512","edg203","ko01100"
"K00512","edg204","ko01100"
"K00512","edg205","ko01100"
"K01630","edg206","ko01100"
"K01630","edg207","ko01100"
"K01630","edg208","ko01100"
"K01630","edg209","ko01100"
"K01630","edg210","ko01100"
"K01630","edg211","ko01100"
"K01630","edg212","ko01100"
"K01630","edg213","ko01100"
"K01630","edg214","ko01100"
"K01630","edg215","ko01100"
"K01630","edg216","ko01100"
"K01630","edg217","ko01100"
"K01630","edg218","ko01100"
"K01630","edg219","ko01100"
"K01630","edg220","ko01100"
"K01630","edg221","ko01100"
"K01630","edg222","ko01100"
"K01630","edg223","ko01100"
"K01630","edg224","ko01100"
"K01630","edg225","ko01100"
"K01630","edg226","ko01100"
"K01630","edg227","ko01100"
"K01630","edg228","ko01100"
"K01630","edg229","ko01100"
"K01630","edg230","ko01100"
"K01630","edg231","ko01100"
"K01630","edg232","ko01100"
"K01630","edg233","ko01100"
"K01630","edg234","ko01100"
"K01630","edg235","ko01100"
"K01630","edg236","ko01100"
"K01630","edg237","ko01100"
"K01630","edg238","ko01100"
"K01630","edg239","ko01100"
"K01630","edg240","ko01100"
"K01630","edg241","ko01100"
"K01630","edg242","ko01100"
"K01630","edg243","ko01100"
"K01630","edg244","ko01100"
"K01630","edg245","ko01100"
