"name","id"
"C01667","6222"
"C07204","7719"
"C07201","7718"
"C11641","7717"
"C08542","7693"
"C08552","7692"
"C08543","7690"
"C08538","7685"
"C06314","7683"
"C06315","7682"
"C14815","7681"
"C04577","7680"
"C14732","7678"
"C08307","7623"
"C00855","7539"
"C00630","7111"
"C22141","7092"
"C10874","7072"
"C22149","7062"
"C07578","7046"
"C06972","7044"
"C16138","6805"
"C12014","6739"
"C06689","6737"
"C16754","6710"
"C12467","6684"
"C21093","6623"
"C20981","6591"
"C21136","6584"
"G13115","6555"
"C06802","6544"
"C21156","6543"
"C01221","6509"
"C21301","6380"
"C11438","6368"
"C21292","6367"
"C12049","6365"
"C17235","6159"
"C05644","6126"
"C17203","6108"
"C03230","6107"
"C01198","6095"
"C01772","6094"
"C06199","6059"
"C02442","6058"
"C06046","6057"
"C05568","6038"
"C03277","6037"
"C05571","6034"
"C05133","6022"
"C03409","6021"
"C03166","5987"
"C05548","5970"
"C03087","5969"
"C20827","5938"
"C05526","5890"
"C03194","5886"
"C06165","5846"
"C05316","5845"
"C05193","5844"
"C05194","5843"
"C05247","5842"
"C00039","5819"
"C00039","5818"
"C00046","5817"
"C03483","5793"
"C03614","5789"
"C05513","5778"
"C05515","5773"
"C05516","5772"
"C05239","5771"
"C06195","5770"
"C02718","5769"
"C00054","5744"
"C16590","5722"
"C16593","5721"
"C16594","5720"
"C03576","5719"
"C17268","5694"
"C06144","5664"
"C00804","5655"
"C02405","5641"
"C00975","5632"
"C00552","5629"
"C03064","5525"
"C01620","5319"
"C03267","5290"
"C00464","5277"
"G00034","5206"
"C05769","5201"
"C19614","5185"
"C07394","5183"
"G13106","5084"
"C05781","5042"
"C19615","5036"
"C05795","5032"
"C01708","5027"
"C02823","5024"
"C00992","5023"
"C00541","5022"
"G13099","5003"
"C00394","4980"
"C07102","4955"
"C10164","4937"
"C06042","4798"
"C20898","4792"
"C02892","4679"
"C05856","4678"
"C01416","4610"
"C00634","4572"
"C00426","4571"
"C18202","4457"
"C02110","4400"
"C00573","4272"
"C04351","4265"
"C01575","4264"
"C16719","4263"
"C02765","4262"
"C08300","4261"
"C08301","4260"
"C05672","4255"
"C01717","4248"
"C12448","4180"
"C16317","4037"
"C05989","4018"
"C13629","3994"
"C13632","3969"
"C13624","3968"
"C06181","3964"
"C02330","3941"
"C05681","3898"
"C06793","3891"
"C00958","3886"
"C07084","3830"
"C05441","3813"
"C06087","3810"
"C05952","3783"
"C06462","3782"
"C17937","3773"
"C03677","3756"
"C09024","3755"
"C11680","3754"
"C11691","3744"
"C06183","3617"
"C06182","3616"
"C06179","3609"
"C02378","3575"
"C06593","3574"
"C16210","3542"
"C06387","3529"
"C06671","3528"
"C06670","3527"
"C16524","3505"
"C15545","3487"
"C00371","3486"
"C02462","3483"
"C06304","3482"
"C14827","3465"
"C08491","3342"
"C03242","3334"
"C05954","3333"
"C05955","3332"
"C05953","3331"
"C05958","3330"
"C05957","3329"
"C05962","3327"
"C05961","3326"
"C05964","3322"
"C05963","3321"
"C14822","3301"
"C14776","3299"
"C01264","3284"
"G00132","3248"
"G00131","3247"
"G00130","3246"
"G00122","3238"
"G00121","3237"
"G00078","3215"
"G00033","3206"
"G00030","3205"
"C00046","3166"
"C00039","3157"
"C00046","1044"
"C16755","7283"
"C08308","7608"
"C04295","7880"
"C05324","7563"
"C15647","7441"
"C16221","7465"
"C16220","7466"
"C16219","7467"
"C03752","7379"
"C20583","7284"
"C15685","7241"
"C02953","5521"
"C20612","7140"
"C20613","7141"
"C16358","5757"
"C07130","5758"
"C05442","7102"
"C20413","7025"
"C22225","6966"
"G10694","6962"
"C20668","6"
"C22102","10"
"C21559","18"
"C06715","164"
"C06582","189"
"C00261","193"
"C01841","211"
"C20953","225"
"C21570","248"
"C21124","273"
"C19687","282"
"C00842","384"
"C18333","420"
"C12348","452"
"C02657","480"
"C21357","494"
"C11993","517"
"C11997","518"
"C11989","524"
"C20737","559"
"C15973","606"
"C02050","621"
"C00440","649"
"C01594","701"
"C05332","859"
"C03063","878"
"C05600","879"
"C04052","880"
"C02727","950"
"C05535","969"
"C06174","1033"
"C06171","1035"
"C01444","1105"
"C01380","1299"
"C00546","1312"
"C02970","1526"
"G13118","1527"
"C20247","1776"
"C03785","1824"
"C00463","1900"
"C00110","3087"
"C00157","3088"
"C00189","3089"
"C00114","3090"
"C00195","3091"
"C00187","3092"
"C00280","3093"
"C00156","3094"
"C00227","3095"
"C00259","3096"
"C00006","3097"
"C00135","3098"
"C00010","3099"
"C00032","3100"
"C00194","3101"
"C00250","3102"
"C00018","3103"
"C00015","3104"
"C00075","3105"
"C00063","3106"
"C00112","3107"
"C00055","3108"
"C00214","3109"
"C00129","3111"
"C00052","3112"
"C01011","3113"
"C00136","3114"
"C00231","3115"
"C00279","3116"
"C00239","3117"
"C00254","3118"
"C00011","3120"
"C00235","3121"
"C00197","3122"
"C00160","3123"
"C00058","3124"
"C00132","3131"
"C00080","3132"
"C00232","3133"
"C00152","3134"
"C00258","3135"
"C00209","3136"
"C00234","3137"
"C00143","3138"
"C00207","3141"
"C00164","3142"
"C00222","3143"
"C00154","3144"
"C00043","3145"
"C00159","3146"
"C00181","3147"
"C00191","3148"
"C00120","3149"
"C00097","3150"
"C00263","3151"
"C00123","3152"
"C00073","3153"
"C00051","3154"
"C00219","3155"
"C00246","3156"
"C00217","3158"
"C00224","3159"
"C00084","3160"
"C00258","3161"
"C00198","3162"
"C00116","3164"
"C00093","3165"
"C00105","3167"
"C00381","3168"
"C01246","3169"
"C03862","3175"
"G00006","3176"
"G10595","3177"
"G10596","3178"
"G10597","3179"
"G00007","3180"
"G10598","3181"
"C03021","3182"
"C00621","3183"
"G00009","3184"
"G00171","3185"
"G00012","3186"
"G00013","3187"
"G00014","3188"
"G00015","3189"
"G00019","3190"
"G00020","3191"
"G00021","3192"
"G00022","3193"
"G00016","3194"
"G00017","3195"
"G01813","3197"
"G10841","3198"
"G11040","3199"
"G12625","3200"
"G10611","3201"
"G00035","3202"
"G00026","3203"
"G00027","3204"
"C01290","3207"
"G00036","3208"
"G00050","3209"
"G00056","3210"
"G00060","3211"
"G00066","3212"
"G00067","3213"
"G00077","3214"
"G00052","3216"
"G00059","3217"
"G00093","3218"
"G00094","3219"
"G00097","3220"
"G00098","3221"
"G00095","3222"
"G00099","3223"
"G00108","3224"
"G00109","3225"
"G00110","3226"
"G00111","3227"
"G00112","3228"
"G00113","3229"
"G00114","3230"
"G00115","3231"
"G00116","3232"
"G00117","3233"
"G00118","3234"
"G00119","3235"
"G00120","3236"
"G00123","3239"
"G00124","3240"
"G00125","3241"
"G00126","3242"
"G00128","3243"
"G00129","3244"
"G00127","3245"
"G00169","3249"
"G00170","3250"
"G00001","3251"
"G00002","3252"
"G00004","3253"
"G00005","3254"
"C06022","3255"
"C06025","3256"
"C06026","3257"
"C06398","3258"
"C06397","3259"
"C07838","3260"
"C11472","3261"
"C07836","3262"
"C00338","3263"
"C01212","3264"
"C05892","3265"
"C04702","3266"
"C04851","3267"
"C05893","3268"
"C05894","3269"
"C17541","3270"
"C06427","3271"
"C02737","3272"
"C00350","3273"
"C00570","3274"
"C00346","3275"
"C00307","3276"
"C00588","3277"
"C01241","3278"
"C04308","3279"
"C00416","3280"
"C04046","3281"
"C06040","3282"
"C13508","3283"
"C03820","3285"
"C04598","3286"
"C05977","3287"
"C03201","3288"
"C04475","3289"
"C04756","3290"
"C04635","3291"
"C03454","3292"
"C02686","3293"
"C06125","3294"
"C00550","3295"
"C02934","3296"
"C05965","3297"
"C14823","3298"
"C14812","3300"
"C14768","3302"
"C14772","3303"
"C14769","3304"
"C14773","3305"
"C14770","3306"
"C14774","3307"
"C14748","3308"
"C14749","3309"
"C05956","3310"
"C05356","3311"
"C02166","3312"
"C05951","3313"
"C05966","3314"
"C14781","3315"
"C14782","3316"
"C14813","3317"
"C14814","3318"
"C00427","3319"
"C02198","3320"
"C00639","3323"
"C00584","3324"
"C01312","3325"
"C00696","3328"
"C06426","3335"
"C14826","3336"
"C04785","3337"
"C04672","3338"
"C01226","3339"
"C16332","3340"
"C16338","3341"
"C00422","3343"
"C01190","3344"
"C05272","3345"
"C05273","3346"
"C05260","3347"
"C03221","3348"
"C05262","3349"
"C05275","3350"
"C05264","3351"
"C01944","3352"
"C05276","3353"
"C05266","3354"
"C05270","3355"
"C05271","3356"
"C05268","3357"
"C01144","3358"
"C05763","3360"
"C04633","3361"
"C05762","3362"
"C05761","3363"
"C05760","3364"
"C04688","3365"
"C05759","3366"
"C05223","3367"
"C05758","3368"
"C05757","3369"
"C05756","3370"
"C05755","3371"
"C05754","3372"
"C04619","3373"
"C05753","3374"
"C05752","3375"
"C05751","3376"
"C04620","3377"
"C05750","3378"
"C05749","3379"
"C05748","3380"
"C05747","3381"
"C05746","3382"
"C05745","3383"
"C04246","3384"
"C04618","3385"
"C05744","3386"
"C01209","3387"
"C03939","3388"
"C11434","3389"
"C11435","3390"
"C11811","3393"
"C01143","3394"
"C01107","3395"
"C15972","3398"
"C16238","3399"
"C16241","3400"
"C01561","3401"
"C01673","3402"
"C00751","3403"
"C01054","3404"
"C01724","3405"
"C11455","3406"
"C15816","3409"
"C05103","3410"
"C05437","3411"
"C15882","3412"
"C15883","3413"
"C02483","3414"
"C02477","3415"
"C14152","3416"
"C14151","3417"
"C01902","3418"
"C03845","3419"
"C01189","3420"
"C01164","3421"
"C01802","3422"
"C05107","3423"
"C05439","3424"
"C05443","3425"
"C03594","3426"
"C05455","3427"
"C17339","3428"
"C05453","3429"
"C05454","3430"
"C05446","3431"
"C01301","3432"
"C04722","3433"
"C15613","3434"
"C17343","3435"
"C05451","3436"
"C05452","3437"
"C05444","3438"
"C05445","3439"
"C04554","3440"
"C17345","3441"
"C17346","3442"
"C05500","3443"
"C05502","3444"
"C05501","3445"
"C01176","3446"
"C05488","3447"
"C00735","3448"
"C00762","3449"
"C03205","3450"
"C02140","3451"
"C00535","3452"
"C05294","3453"
"C05295","3454"
"C08830","3455"
