#KEGG	logFC
C00062	1.269854431
C00077	1.123872694
C01996	-0.658423206
C00042	1.010972619
C00051	0.822193121
C00116	-0.623838569
C00114	-0.406052491
C00148	-0.932835099
C00245	0.903658797
C00262	0.548035915
C00064	0.416744818
C00407	-0.515041676
C00670	-0.497216411
C00047	1.102078837
C00123	0.557923392
C00148	-0.296727279
