#NAME	GSM1432676	GSM1432677	GSM1432646	GSM1432647	GSM1432648
#CLASS	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED
381534	0.043039561	-0.116167543	-0.16843057	-0.265325075	0.020371676
69546	0.229954403	0.090534051	-0.3385094	-0.283452517	-0.318871657
66138	0.270080565	0.241329907	-0.52741027	-0.39908074	-0.308553695
72722	-0.27947068	-0.15375018	0.26120543	0.09929347	0.35755754
15184	0.337291247	0.023918629	-0.333846887	-0.154033664	-0.29409822
12007	0.176034929	0.167690753	-0.8263192	-0.362588405	-0.341638085
72287	0.39848137	0.000719785	-0.1265769	0.01025629	0.013558626
66433	0.62878656	0.69177914	-0.10914183	-0.04998827	-0.19458103
56388	0.7892697	0.5161884	-2.5902727	-2.0391986	-2.1312592
17215	-0.028540373	-0.06350684	0.041982412	0.022348642	0.18411374
27965	-0.005736828	-0.13334846	-0.035315037	0.17272997	0.24827194
19683	0.39084673	0.94732666	-2.4140773	-2.1915545	-2.273645
216188	0.148515225	0.030935049	0.05226326	-0.04829383	-0.048788309
18671	0.033029556	0.008805752	-0.012168407	-0.15109444	0.06679726
17475	0.090399663	0.215888579	-0.138561647	-0.281970257	-0.074763217
66477	0.279732	0.54135966	-0.20158744	-0.24829888	-0.21956563
21937	0.151137112	0.372462037	-0.156068087	-0.096990663	0.040536959
214895	-0.277197475	-0.180874465	0.245228167	0.137116315	0.077144981
54132	-0.5127084	-0.5612023	0.2981074	0.26992345	0.063440084
231997	0.05097437	0.024748802	-0.15465641	-0.01978445	-0.019754887
68598	-0.024332523	-0.019325256	0.11828756	0.00023	-0.06325817
27416	0.05034983	-0.188293099	0.34865844	0.08473432	0.148159384
217463	0.10718846	0.3420694	0.073839426	0.015413523	-0.13383079
19366	-0.09906602	-0.12478185	0.9510486	0.6867931	0.6952603
11898	0.10258961	0.4669938	-1.4624224	-1.7397661	-1.585649
24060	0.25161815	0.09795165	-0.37022424	-0.18576121	-0.06991553
98828	0.35517526	0.15027261	0.19698644	0.124755144	0.08016038
16476	-0.17250967	-0.31752825	0.20407867	0.3916464	0.24028635
246278	0.007530807	-0.572763315	-0.05398643	0.25703919	1.3402921
19299	0.34590387	0.31728077	-1.6360278	-1.5020537	-1.4340572
93725	-0.122164726	-0.09104681	1.1542006	0.8521557	1.0642648
67373	0.05104661	-0.03580737	-0.07423806	-0.27417302	-0.052397966
94040	0.097041009	0.165738225	-0.078780295	-0.125353696	-0.05429145
71720	-0.08144387	-0.080924747	0.179922658	0.22392408	0.155442318
71911	0.321694852	0.5100808	-0.96214415	-0.816277035	-0.61723231
19108	-0.114655253	-0.17684977	0.364394427	0.21064258	0.327056011
20650	0.109670875	0.031990527	-0.05220318	-0.00730586	-0.053755045
56551	-0.2478559	0.15784526	-0.29275393	-0.5340116	-0.3480599
22340	0.12613678	0.552197	-0.6330366	-0.28581524	-0.38322592
65106	-0.488146545	-0.28425193	-0.032005547	0.142858743	0.28140521
30877	0.159570612	0.667432067	0.111881018	0.193628863	0.076996565
20190	0.021458687	0.05119616	0.013201177	-0.037810029	0.077204762
56278	0.184634925	0.2558031	-0.14006209	0.00879121	-0.18588925
67554	0.34772515	0.78455186	-0.25828338	-0.40371108	-0.21891809
67131	-0.000703097	0.21593976	-0.64433011	-0.7740624	-0.46859177
76500	0.014871001	0.01247871	0.016360165	-0.16891396	-0.085483432
105298	-0.07407451	-0.060380697	-0.1558578	-0.066566706	-0.09214282
16592	-0.294802785	-0.005790115	-0.228316425	-0.19777317	-0.185506706
20499	0.042288303	-0.26355648	-0.3243575	-0.33525229	0.038045883
246727	0.14879465	0.051227807	-0.095122815	-0.180722715	-0.04286909
29869	0.251407025	0.165930155	-0.50585257	-0.424832225	-0.452470425
21413	-0.6161964	-0.86726975	0.5589869	0.71330476	0.034100294
15944	0.098436753	0.113041798	-0.019068797	-0.196266573	-0.006037473
268697	-0.021827221	-0.075477838	0.70079517	0.593886375	0.524058585
21753	0.011114203	-0.082454761	0.296183183	0.336406317	0.24309166
15951	-0.00750041	0.00750041	0.23087192	-0.13979888	0.02695489
11818	0.49762154	0.23947763	-0.4931574	-0.43917274	-0.74921656
223513	0.21900606	0.043730736	-0.07981157	-0.19899035	-0.050230503
18633	-0.2750032	-0.014488459	-0.7145574	-0.6625669	-0.818969
52666	-0.061449687	-0.128894329	0.139773855	0.10583337	0.025760333
56316	0.220716633	0.328760157	-0.359602133	-0.31623602	-0.070141315
13131	0.063280425	0.050903002	-0.117073219	-0.17172543	-0.032516001
75292	0.405445187	0.224836906	-0.834005933	-0.621432523	-0.627227533
69456	-0.018205643	-0.15452862	-0.055718422	-0.11082077	0.15374708
14792	0.1941036	0.279437425	-0.62596665	-0.45739854	-0.706412925
12048	0.101113874	0.069131453	-0.078340611	-0.207782507	-0.038777432
235636	-0.19132042	-0.37376595	-0.13401222	-0.16911125	-0.06109667
11997	0.1945126	0.40854812	0.43628812	0.24751592	-0.39223266
16164	-0.52938867	-0.41620708	0.0632112	0.17259002	0.20016313
102566	-0.06463289	-0.07843208	0.15300131	0.061625004	0.33462143
229731	0.075437942	0.075128792	-0.097559053	-0.131237428	-0.008900563
15896	-0.09749317	-0.39999866	0.83304405	0.65899754	0.47318506
22371	-0.36589265	-0.5909617	0.4901898	0.6109698	0.53202987
19419	0.09237639	-0.062526862	0.56862577	0.502600995	0.522647852
72999	0.91815845	-0.653442307	-0.823891713	-0.798740317	-1.1282502
66340	-0.016468525	0.3989582	-0.31133413	-0.20358706	-0.30067158
94093	0.154333594	0.118847727	-0.046446323	-0.216238145	-0.087348938
98365	-0.31357026	-0.5529382	1.4967124	1.3580596	1.4064295
68183	0.22766137	-0.086611986	0.10253835	0.0187819	-0.29200673
12268	-0.6983795	-0.79587126	0.28255272	0.32019043	0.30613756
212168	0.2831874	0.043437004	0.025615215	-0.004132271	-0.015130997
17175	0.294204633	0.479027513	-0.553360223	-0.468187247	-0.323345733
23872	0.040860415	-0.24331784	0.839061	0.50746083	0.33200717
320736	0.176222205	0.005031705	-0.166905285	-0.00706542	-0.031293274
24071	0.54953019	0.62154563	-0.385177137	-0.310704073	-0.21121677
14863	-0.215730507	0.432412467	-0.212502327	-0.196356293	-0.740704533
11889	-0.28608704	0.025736332	-0.41058826	-0.31537247	-0.15694952
14700	-0.18004179	-0.020310879	0.09104252	0.11532116	0.18770647
15959	-0.05691779	-0.08228481	-0.13391602	-0.167487025	0.064263225
74096	-0.144877675	-0.2749238	0.842838285	0.73788835	0.4009602
12648	0.29165006	0.192044975	-0.170096395	-0.159174205	-0.048931598
17313	-0.3404591	-0.13644814	1.9172618	1.2133787	-0.3254683
70377	0.25133324	-0.014983654	0.018554688	-0.12691927	0.17072582
11657	0.2208867	-0.28607273	-0.48010778	-1.2261672	-0.20650005
272396	0.235672235	0.28992796	-0.3148222	-0.347754715	-0.12929368
21928	0.17307949	-0.876889553	0.576657623	0.693790433	0.53614092
16498	-0.25906324	-0.35790968	1.5784869	1.6459079	1.4933405
67863	0.082688012	0.503722033	-0.47539712	-0.380781167	-0.327308805
15530	-0.59889746	-0.9186506	0.94111013	1.2437663	0.42711926
57439	-0.12663019	0.27043784	-1.0357598	-0.787111175	-1.03238335
215031	0.082217932	0.064634403	-0.085842213	-0.221542913	-0.017196893
67732	0.36265993	0.54496956	-1.3345771	-1.1531005	-0.93954563
69386	0.2066145	-0.19082022	-0.007918358	-0.36788225	-0.51597404
28194	0.05607915	-0.22462678	-0.069126844	0.17812085	-0.041016817
54711	-0.020204306	0.00836587	0.61010194	0.5713389	0.5606916
53378	-0.104373277	-0.039325893	0.314174461	0.315791195	0.345729408
72748	-0.007964134	0.20775747	-0.74840736	-0.49900532	-0.17571115
227659	-0.023451328	-0.16185474	1.9338923	1.5975485	1.4129004
212670	-0.008772612	-0.07875514	-0.40321946	-0.46449018	-0.31921077
21877	0.04015263	0.045551538	-0.162527797	-0.297645175	-0.103856007
230163	-0.03078723	0.3995049	-1.48009945	-1.35514905	-1.2782991
67914	0.48805285	0.70746326	-1.0240102	-0.84484816	-0.7015743
66113	-0.35616684	0.31236696	-1.1028452	-1.493535	-1.3542438
56185	1.2721765	2.0085328	-0.5989034	-0.6664183	-0.62734056
68463	-0.00598836	0.3026116	-0.75373673	-0.6738045	-0.8289926
15929	0.199035405	0.296474693	-0.504321325	-0.26360488	-0.37831998
66116	0.40864182	0.5420604	-1.7016115	-1.7436504	-1.6506534
208164	-0.46236086	-0.13606262	0.037776947	0.16465378	-0.4039607
16012	-0.024963617	0.09275222	0.003960371	0.16715264	-0.005746603
17195	-0.018011093	0.018010616	-1.7741728	-1.5920029	-1.5640874
109815	-0.098986147	-0.534229275	-0.696440235	-0.477471843	-0.35064458
108735	-0.006901025	0.158248344	-0.307481207	-0.212668337	-0.350976707
20216	0.258500257	0.427083173	-0.71824982	-0.786594233	-0.599823171
116847	-0.5504308	-0.30309582	1.2517066	0.94670343	0.90648746
57778	0.077904224	0.014484406	-0.08975077	-0.1411109	-0.014185429
12606	0.14125538	0.6870599	-0.6268954	-0.6686835	-0.40945053
52502	-0.27514958	-0.13455081	-0.5783875	-0.77460027	-0.40239596
104458	-0.055956365	-0.15328884	0.02329874	-0.009674075	0.24644566
17713	0.25277233	0.56645536	-1.1402836	-0.6381731	-0.4235263
12972	0.291766166	0.48459315	-0.921638013	-0.790515918	-0.776181925
98952	-0.5489018	-0.28654075	0.47688365	0.286947	-0.03207755
56629	0.123473963	0.156309762	-0.285548213	-0.237467287	-0.24372514
71919	-0.161702275	-0.1998657	0.632630945	0.303751826	0.60260593
69178	0.050604701	0.021910787	0.267200827	0.068386195	-0.004050151
20397	0.248896125	-0.086910726	-0.079895973	0.268674375	0.089290144
93671	0.354169963	0.091645835	1.200502774	0.96405088	0.385723002
170748	-0.019319296	-0.34033275	-0.19818807	-0.1309092	0.27204585
17357	0.064758617	-0.031653247	0.159535725	0.10209036	0.158021291
17105	-0.247765383	-0.584462645	1.42376358	1.31134062	1.310928833
19334	0.050796747	0.130882341	-0.301773312	-0.398024643	-0.280829985
75608	-0.6799605	-0.60335135	0.71088004	0.84390616	0.8635638
226646	0.394756435	0.640852575	-0.91475903	-0.86493575	-0.78197707
56221	0.001077175	-0.003587723	2.073645	1.9130492	1.1986399
14247	-0.043483257	-0.057639122	0.013370991	-0.013370991	0.03925371
67710	-0.5242374	-0.2912705	0.65316415	0.44374776	0.14535308
70380	-0.040821393	-0.056884128	-0.172015827	-0.138066293	-0.109244029
54648	-0.3529327	-0.58304954	0.5123131	0.56100106	0.7936542
66438	0.001895905	1.1694112	-2.7832823	-2.902748	-3.938624
319154	-0.32935405	0.017718077	0.22263455	0.1908791	-0.13793492
108673	-0.005181789	0.21170712	0.47447634	0.35631323	0.7303448
102595	-0.24598765	-0.43408513	0.91231847	1.0909064	0.8241365
14710	-0.160636666	-0.276578905	1.20937465	1.14606025	1.2893112
213527	0.08347249	-0.030099154	0.048318624	-0.20290351	-0.06357789
16410	0.3076532	-0.014086008	-0.033180952	-0.080685854	-0.006688356
56480	-0.070233345	-0.111340046	0.15932369	0.13813877	0.16572905
211666	-0.25961304	-0.18215227	0.809227	0.86874676	0.6405139
212862	0.414295593	0.392521143	-0.48146415	-0.31689922	-0.271077553
66500	0.031469943	-0.149708632	0.240536335	0.215884325	0.285255555
72747	-0.032076955	0.822178735	-0.44554864	-0.598869925	-0.4668981
432879	0.07854247	0.000849	0.1387403	0.14817882	0.26380372
70031	0.077565672	0.474515915	-1.35992195	-0.780652975	-0.9311042
329384	0.051601648	0.029331207	0.054805517	-0.07749176	0.11676526
15486	0.020475864	0.043393135	-1.3625178	-0.9039626	-0.74332714
63986	-0.169572913	-0.359296872	0.793900877	0.785415078	0.674890433
