#NAME	GSM631514	GSM631515	GSM631516	GSM631517	GSM631518	GSM631519	GSM631520	GSM631521	GSM631522	GSM631523	GSM631524	GSM631525	GSM631526	GSM631527	GSM631528	GSM631529	GSM631530	GSM631531	GSM631532	GSM631533	GSM631534	GSM631535	GSM631536	GSM631537
#CLASS	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED
56878	-0.01961422	0.147921565	-0.085503578	-0.128307341	-0.25083923	0.33634282	0.131572245	0.46006585	-0.275025365	-0.4110999	0.20977879	0.236486435	0.69414425	0.8533988	0.437758445	1.0463562	0.49109078	0.7627678	0.785187735	-0.34395313	0.49968864	0.435860635	0.46619797	0.58331203
19369	0.110941567	0.225977573	0.058904965	-0.336918513	-0.218521433	0.159616153	-0.208214442	-0.460437467	-0.33811696	-1.372355967	-0.099134125	-0.018170357	-0.411333723	-0.480189013	-0.652208329	-1.220679267	-0.504891396	-0.481253617	-0.77561441	-1.608646217	-1.156012533	-0.48059654	-1.014999713	-0.799773223
70456	-0.16086531	0.072382213	-0.011579037	0.08848214	0.083529709	-0.071948765	-0.27615142	-0.083870409	-0.26039505	-0.188254595	0.130218504	0.02801204	-0.56624936	-0.287530659	-0.5488863	-0.66218425	-0.772720835	-0.333490618	-0.525807615	-0.87494445	-0.35597635	-0.53230404	-0.559918175	-0.260719055
12684	0.07933235	0.04610443	-0.10215664	-0.12543678	-0.084742546	0.18689823	-0.05051136	-0.17968655	-0.1090107	-0.38574123	-0.5454912	-0.26434135	-0.80742645	-0.6670141	-0.55184746	-1.2157164	-1.0992317	-1.081975	-0.6728935	-0.34410095	-0.6723261	-1.0728855	-0.9955616	-1.1959906
211577	0.25654316	0.002270222	0.05185747	-0.25881195	-0.1834712	0.13161278	0.25959635	0.05185747	-0.09953022	-0.0842123	0.03161049	-0.11173248	0.44741154	0.8707013	0.5892191	0.6884842	0.93030787	0.61777973	0.22302198	1.4767585	0.56451464	0.47846556	0.2993474	0.21028757
17329	0.3566084	-0.05808544	-0.39593315	-0.2985201	-0.107149124	0.5030842	4.1543055	3.7682762	3.7225256	3.2741108	3.64077	3.7737026	2.5968313	2.3083267	1.4008875	2.0695972	2.1243305	2.8326473	0.6371517	2.0146875	1.5428171	1.2617788	0.8517237	1.6336727
14199	1.3701488	-0.64316367	0.03033336	-0.726985467	0.078330039	-0.108663877	-0.358576297	0.434713367	-0.314871943	-0.449133872	1.457500893	0.458494027	0.154913745	1.088091545	0.103878814	0.875435035	0.135085265	0.9168903	-0.144163609	0.082869687	0.90118171	-0.063999337	0.701443513	0.81175852
74126	-0.25586224	0.024907112	0.48034382	0.23095226	0.04397869	-0.52431965	0.6086588	-0.06898403	0.5530577	0.16293907	-0.1319933	-0.05953026	0.6637373	0.73685265	0.51089954	0.3532591	0.928277	0.07274723	0.19432735	0.8004236	1.0282917	0.07087803	0.37217999	0.68500996
232987	0.08705187	-0.093939304	0.01185894	0.006887436	0.13531113	-0.14717007	0.23371553	0.31182098	0.28846693	0.2889676	0.21038055	0.022250652	0.35304785	0.3710642	0.5139842	0.56331444	0.43753767	0.26291466	0.8837123	1.0887504	0.5754223	0.7244525	0.6860523	0.2836094
18143	-0.2912755	0.21657324	-0.17972088	0.074701786	0.3279419	-0.14822102	1.0558195	0.64470863	0.8158593	0.37757778	0.3337536	0.22421646	0.37225246	-0.118676186	0.49288273	-0.58262014	0.61265945	-0.3398037	0.3843584	1.141634	-0.31427526	0.5419698	-0.6824455	-0.2086997
192287	0.184013365	0.025306463	0.183735843	-0.209319355	-0.199906825	0.016170742	0.072931765	0.46699381	0.22628903	-0.072597266	0.43332172	0.233109715	0.626363285	0.74250958	0.736275425	0.86141635	0.439942115	0.762495985	0.310637235	-0.201042414	0.49855925	0.448615315	0.52468276	0.66653013
52575	-0.40118027	0.03269005	-0.22307348	0.36849022	0.16953564	0.053538322	-0.75048447	-0.3605771	-0.37732506	0.34886932	-0.19767904	0.08740902	-0.55317116	-0.464221	-0.3197117	-0.046500206	-0.16005802	-0.12196779	-0.3365097	-1.2646561	-0.11251545	0.5228977	0.040647507	-0.024149418
57440	-0.15305042	0.2706976	0.019482613	-0.11764622	-0.30409336	0.2846117	-0.10151768	0.030749321	-0.30090237	-0.18226814	0.018414497	-0.14660358	-0.75602055	-0.7653389	-0.27777767	-1.3668032	-0.7499962	-0.80016613	-0.46280766	-0.35050678	-0.4230814	-0.6722326	-0.8414707	-0.4886198
14667	0.022805214	0.12191868	-0.12030697	-0.14472294	-0.0959177	0.21622562	0.14725018	0.19249058	0.22775745	-0.095454216	0.02037716	0.13537979	-0.13109684	-0.113381386	-0.36697674	-0.39350224	-0.08489227	-0.07150555	-0.093655586	0.5780592	-0.39881897	-0.32125378	-0.5680542	0.023964882
16548	0.002316475	0.147911075	-0.046670914	-0.150227548	-0.13879299	0.185463905	0.006659033	0.09936139	-0.020040512	0.141645433	-0.063646315	-0.261736388	-0.688744535	-1.20758585	-0.45878697	-1.84942055	-1.1829109	-1.40499495	-0.88254452	-0.59765817	-0.89505053	-1.34922125	-1.47381115	-1.145142575
71041	-0.18044186	0.17382145	0.030778885	0.006619453	-0.009838104	-0.02094078	0.20366001	-0.14575958	0.35295773	0.39431858	-0.08765793	-0.27238846	0.5118513	0.38614845	0.5478239	0.18948364	0.44262886	0.22150421	0.814538	-0.5607691	0.62927437	0.7629919	0.341197	0.2950554
12332	0.218336581	-0.156251192	-0.165360928	-0.06208563	0.019688368	0.145671843	0.77368901	0.721797005	0.483161199	0.305209875	0.652726655	0.72713662	1.84587623	1.9058366	1.68558285	2.49027015	2.02635243	1.81128545	1.4052756	2.5311444	1.424048185	1.646122685	1.776775115	1.508646235
67760	-0.149220625	-0.024408499	-0.07647721	0.17363008	-0.04513772	0.121615091	-0.458545047	-0.338297529	-0.364277045	0.086401467	0.107287893	-0.0530634	-0.525878601	-0.276981831	-0.48527431	-0.04738887	-0.214805917	0.144977737	-0.310908317	-0.779326442	-0.278996153	-0.033743083	-0.292589193	-0.253467409
76293	0.7378087	-0.33749676	-0.055448055	-0.4003129	-0.025502205	0.08095026	0.13545275	0.3098364	0.037672997	-0.06782913	0.4457984	-0.053747177	1.8451734	2.6814437	1.256804	1.8321557	2.3345313	1.6919522	1.5556235	3.1236444	2.0179572	2.1655908	2.0867124	2.1270185
108960	0.09602308	-0.025611401	-0.072391985	-0.070412159	-0.043486119	0.115878582	0.30207634	-0.110636235	0.112105847	-0.103018761	-0.719629765	-0.45078945	0.208824635	-0.377831935	0.205709933	-0.38988161	0.005391595	-0.58612299	-0.10937786	0.329257475	-0.29638243	-0.284422397	-0.66194057	-0.5871501
385643	-0.013250351	0.088509558	0.029512882	-0.075260165	-0.082417967	0.052906515	-0.111483095	0.003163815	-0.4091978	-0.446269515	-0.161793232	-0.4061618	-0.073834415	-0.05788805	-0.006339075	-0.448666105	-0.0999937	-0.3757529	0.591540843	-0.243566515	0.31065845	0.32518959	-0.064593315	-0.188799385
192292	-0.15488529	0.22636509	-0.055088997	-0.07148075	-0.09319401	0.14828396	0.17000198	-0.3030157	0.006033897	-0.35886383	-0.54902935	-0.31777573	0.01463604	-0.18098164	0.1044817	-0.18770123	0.009106636	-0.5155363	0.058712006	0.5993757	-0.094426155	-0.056839943	-0.41648483	-0.29178905
67841	-0.08464495	-0.069203537	-0.051335177	0.15384817	0.04139757	0.009937127	-0.076316987	-0.25776704	0.034564973	0.110428968	-0.135174911	-0.147768658	-0.27476438	-0.355555054	-0.32929388	-0.617090367	-0.472412423	-0.504541233	-0.412286117	-0.546122083	-0.458158483	-0.232549987	-0.533161973	-0.357845148
211253	-0.183903063	-0.023482799	-0.05085103	0.207386338	0.133936723	-0.083086652	0.03721984	-0.158077557	-0.079597317	0.239878978	-0.070848305	0.144782543	-0.329086627	-0.48158089	-0.191076757	-0.465034333	-0.497663652	-0.43622032	-0.349677243	-0.9351357	-0.331651525	-0.484053143	-0.543901607	-0.300477186
