"name","nmol","charge","massdiff","oidscore","quasi","ips"
"[M+H]+",1,1,1.007276,1,1,1
"[M+Na]+",1,1,22.989218,8,1,1
"[M+K]+",1,1,38.963158,10,1,1
"[M+NH4]+",1,1,18.033823,16,1,1
